# 2026 Barcelona real racing line (FastF1), savgol-smoothed to physical apex radii.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0,137.27607575603636,-25.559018776942768,0.0,0.0,0.8,0.8,1.0
3.0,136.07961086454188,-27.43476367291418,0.0,0.0,0.8,0.8,1.0
6.0,134.86670382764407,-29.340062669009047,0.0,0.0,0.8,0.8,1.0
9.0,133.6281686634374,-31.28927307948324,0.0,0.0,0.8,0.8,1.0
12.0,132.35469199978763,-33.296670995566885,0.0,0.0,0.8,0.8,1.0
15.0,131.03681760153526,-35.37644115347124,0.0,0.0,0.8,0.8,1.0
18.0,129.6650967943358,-37.54277320827068,0.0,0.0,0.8,0.8,1.0
21.0,128.23010947994337,-39.8098751485698,0.0,0.0,0.8,0.8,1.0
24.0,126.72244557856295,-42.19196140319687,0.0,0.0,0.8,0.8,1.0
27.0,125.13270704941263,-44.70325409301906,0.0,0.0,0.8,0.8,1.0
30.0,123.45151515580798,-47.357987662264605,0.0,0.0,0.8,0.8,1.0
33.0,121.66950361404767,-50.17040449641017,0.0,0.0,0.8,0.8,1.0
36.0,119.94295191914286,-52.89296236972232,0.0,0.0,0.8,0.8,1.0
39.0,118.33536022280654,-55.425866851518094,0.0,0.0,0.8,0.8,1.0
42.0,116.72693193726887,-57.95824047092238,0.0,0.0,0.8,0.8,1.0
45.0,115.11771349196052,-60.4901134943826,0.0,0.0,0.8,0.8,1.0
48.0,113.50782537726974,-63.02156378206736,0.0,0.0,0.8,0.8,1.0
51.0,111.8974269450358,-65.55269370622838,0.0,0.0,0.8,0.8,1.0
54.0,110.28636640497274,-68.08340482425187,0.0,0.0,0.8,0.8,1.0
57.0,108.67441298469507,-70.61354678104743,0.0,0.0,0.8,0.8,1.0
60.0,107.06132275131606,-73.14296224248741,0.0,0.0,0.8,0.8,1.0
63.0,105.44705816756671,-75.67162737240052,0.0,0.0,0.8,0.8,1.0
66.0,103.83141181062264,-78.19941311944802,0.0,0.0,0.8,0.8,1.0
69.0,102.21434325097921,-80.72629957938527,0.0,0.0,0.8,0.8,1.0
72.0,100.59655404009065,-83.25273087636049,0.0,0.0,0.8,0.8,1.0
75.0,98.97893753943345,-85.77926881099569,0.0,0.0,0.8,0.8,1.0
78.0,97.36224565562345,-88.30638610250725,0.0,0.0,0.8,0.8,1.0
81.0,95.74707271309123,-90.83445690412113,0.0,0.0,0.8,0.8,1.0
84.0,94.13383062651573,-93.36374172586378,0.0,0.0,0.8,0.8,1.0
87.0,92.52277810490884,-95.89440596994486,0.0,0.0,0.8,0.8,1.0
90.0,90.91391982126707,-98.42645486907153,0.0,0.0,0.8,0.8,1.0
93.0,89.30682399343245,-100.95961539494684,0.0,0.0,0.8,0.8,1.0
96.0,87.70117820850199,-103.49369074074646,0.0,0.0,0.8,0.8,1.0
99.0,86.09681618362343,-106.02857725780677,0.0,0.0,0.8,0.8,1.0
102.0,84.4936096854271,-108.56419551644179,0.0,0.0,0.8,0.8,1.0
105.0,82.8914508728612,-111.10047904312913,0.0,0.0,0.8,0.8,1.0
108.0,81.29025856153895,-113.6373782962316,0.0,0.0,0.8,0.8,1.0
111.0,79.68987957662523,-116.17479794097113,0.0,0.0,0.8,0.8,1.0
114.0,78.0901109208215,-118.71261093644452,0.0,0.0,0.8,0.8,1.0
117.0,76.49063019372376,-121.2506141222484,0.0,0.0,0.8,0.8,1.0
120.0,74.89094975758127,-123.78849867631763,0.0,0.0,0.8,0.8,1.0
123.0,73.29041901750642,-126.32585086722071,0.0,0.0,0.8,0.8,1.0
126.0,71.68823165668906,-128.86215643580454,0.0,0.0,0.8,0.8,1.0
129.0,70.08373513516678,-131.3970008022596,0.0,0.0,0.8,0.8,1.0
132.0,68.47660336567503,-133.93017933838001,0.0,0.0,0.8,0.8,1.0
135.0,66.8668670097584,-136.4617145791317,0.0,0.0,0.8,0.8,1.0
138.0,65.25466085124219,-138.99169404558373,0.0,0.0,0.8,0.8,1.0
141.0,63.640735742746884,-141.52059291629845,0.0,0.0,0.8,0.8,1.0
144.0,62.02632086225655,-144.04918275167927,0.0,0.0,0.8,0.8,1.0
147.0,60.41218748692572,-146.57794789834313,0.0,0.0,0.8,0.8,1.0
150.0,58.79883830867635,-149.10720666478562,0.0,0.0,0.8,0.8,1.0
153.0,57.18662698307728,-151.6371844437252,0.0,0.0,0.8,0.8,1.0
156.0,55.57567996347748,-154.167963417845,0.0,0.0,0.8,0.8,1.0
159.0,53.96589496352179,-156.699480284456,0.0,0.0,0.8,0.8,1.0
162.0,52.35693832315887,-159.2315235533008,0.0,0.0,0.8,0.8,1.0
165.0,50.74845579723742,-161.76386755455147,0.0,0.0,0.8,0.8,1.0
168.0,49.14046478928503,-164.29652368802124,0.0,0.0,0.8,0.8,1.0
171.0,47.532953660492176,-166.82948478235295,0.0,0.0,0.8,0.8,1.0
174.0,45.92583339152988,-169.36269433587674,0.0,0.0,0.8,0.8,1.0
177.0,44.318996859210245,-171.89608431936725,0.0,0.0,0.8,0.8,1.0
180.0,42.71232673946345,-174.42958020789703,0.0,0.0,0.8,0.8,1.0
183.0,41.10568514533013,-176.96309438714312,0.0,0.0,0.8,0.8,1.0
186.0,39.4989225231053,-179.4965318254287,0.0,0.0,0.8,0.8,1.0
189.0,37.891885883310785,-182.02979531868797,0.0,0.0,0.8,0.8,1.0
192.0,36.284436733071786,-184.56279689396226,0.0,0.0,0.8,0.8,1.0
