# Brands Hatch Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-1.1096,0.0664,0.0000,0.000,5.462,5.076,1.0000
4.9989,3.4511,2.1133,0.0000,0.000,5.473,5.075,1.0000
9.9981,8.0243,4.1326,0.0000,0.000,5.472,5.105,1.0000
14.9976,12.6084,6.1279,0.0000,0.000,5.472,5.135,1.0000
19.9978,17.2020,8.1027,0.0000,0.000,5.471,5.165,1.0000
24.9985,21.8035,10.0606,0.0000,0.000,5.470,5.195,1.0000
30.0000,26.4115,12.0052,0.0000,0.000,5.469,5.225,1.0000
35.0021,31.0243,13.9400,0.0000,0.000,5.468,5.255,1.0000
40.0050,35.6404,15.8687,0.0000,0.000,5.467,5.285,1.0000
45.0085,40.2584,17.7947,0.0000,0.000,5.466,5.315,1.0000
50.0126,44.8767,19.7216,0.0000,0.000,5.465,5.345,1.0000
55.0174,49.4937,21.6530,0.0000,0.000,5.464,5.375,1.0000
60.0227,54.1080,23.5925,0.0000,0.000,5.463,5.405,1.0000
65.0286,58.7180,25.5435,0.0000,0.000,5.462,5.434,1.0000
70.0348,63.3238,27.5057,0.0000,0.000,5.462,5.464,1.0000
75.0411,67.9279,29.4716,0.0000,0.000,5.461,5.494,1.0000
80.0469,72.5331,31.4335,0.0000,0.000,5.476,5.526,1.0000
85.0517,77.1424,33.3835,0.0000,0.000,5.637,5.573,1.0000
90.0550,81.7585,35.3137,0.0000,0.000,5.797,5.619,1.0000
95.0568,86.3843,37.2161,0.0000,0.000,5.958,5.666,1.0000
100.0567,91.0226,39.0831,0.0000,0.000,6.119,5.713,1.0000
105.0548,95.6762,40.9065,0.0000,0.000,6.209,5.709,1.0000
110.0513,100.3479,42.6787,0.0000,0.000,6.090,5.556,1.0000
115.0469,105.0406,44.3916,0.0000,0.000,5.972,5.404,1.0000
120.0424,109.7572,46.0375,0.0000,0.000,5.853,5.251,1.0000
125.0390,114.5004,47.6084,0.0000,0.000,5.735,5.099,1.0000
130.0380,119.2724,49.0977,0.0000,0.000,5.617,4.946,1.0000
135.0398,124.0721,50.5053,0.0000,0.000,5.498,4.794,1.0000
140.0442,128.8971,51.8331,0.0000,0.000,5.389,4.653,1.0000
145.0508,133.7452,53.0831,0.0000,0.000,5.393,4.670,1.0000
150.0593,138.6141,54.2573,0.0000,0.000,5.397,4.686,1.0000
155.0690,143.5015,55.3575,0.0000,0.000,5.402,4.702,1.0000
160.0790,148.4053,56.3833,0.0000,0.000,5.406,4.719,1.0000
165.0810,153.3251,57.2864,0.0000,0.000,5.410,4.735,1.0000
170.0657,158.2623,57.9732,0.0000,0.000,5.415,4.752,1.0000
175.0361,163.2184,58.3503,0.0000,0.000,5.424,4.875,1.0000
180.0121,168.1938,58.4262,0.0000,0.000,5.433,5.016,1.0000
185.0067,173.1880,58.3689,0.0000,0.000,5.443,5.156,1.0000
190.0186,178.1999,58.3541,0.0000,0.000,5.453,5.297,1.0000
195.0434,183.2241,58.4343,0.0000,0.000,5.459,5.424,1.0000
200.0719,188.2513,58.5495,0.0000,0.000,5.430,5.386,1.0000
205.0934,193.2721,58.6351,0.0000,0.000,5.400,5.347,1.0000
210.0983,198.2769,58.6268,0.0000,0.000,5.370,5.308,1.0000
215.0806,203.2564,58.4602,0.0000,0.000,5.340,5.270,1.0000
220.0409,208.2016,58.0724,0.0000,0.000,5.436,4.931,1.0000
224.9939,213.1125,57.4283,0.0000,0.000,5.534,4.587,1.0000
229.9627,217.9973,56.5183,0.0000,0.000,5.254,4.659,1.0000
234.9716,222.8641,55.3334,0.0000,0.000,4.869,4.847,1.0000
240.0211,227.6974,53.8720,0.0000,0.000,4.720,4.924,1.0000
245.0755,232.4467,52.1427,0.0000,0.000,4.797,4.895,1.0000
250.0988,237.0600,50.1548,0.0000,0.000,4.874,4.865,1.0000
255.0818,241.5102,47.9130,0.0000,0.000,5.214,4.812,1.0000
260.0382,245.7927,45.4179,0.0000,0.000,5.660,4.748,1.0000
264.9829,249.9038,42.6701,0.0000,0.000,6.036,4.726,1.0000
269.9315,253.8393,39.6702,0.0000,0.000,5.760,5.092,1.0000
274.8995,257.5954,36.4186,0.0000,0.000,5.484,5.458,1.0000
279.9028,261.1683,32.9160,0.0000,0.000,5.381,5.582,1.0000
284.9453,264.5491,29.1748,0.0000,0.000,5.428,5.498,1.0000
289.9998,267.7173,25.2365,0.0000,0.000,5.475,5.413,1.0000
295.0319,270.6503,21.1475,0.0000,0.000,5.629,5.246,1.0000
300.0150,273.3240,16.9425,0.0000,0.000,5.809,5.059,1.0000
304.9636,275.7061,12.6049,0.0000,0.000,5.757,5.093,1.0000
309.9120,277.7625,8.1040,0.0000,0.000,5.594,5.232,1.0000
314.8941,279.5004,3.4348,0.0000,0.000,5.443,5.365,1.0000
319.9116,281.0274,-1.3447,0.0000,0.000,5.492,5.400,1.0000
324.9442,282.4665,-6.1671,0.0000,0.000,5.540,5.436,1.0000
329.9674,283.9069,-10.9794,0.0000,0.000,5.589,5.471,1.0000
334.9747,285.2928,-15.7910,0.0000,0.000,5.638,5.507,1.0000
339.9677,286.5289,-20.6285,0.0000,0.000,5.724,5.478,1.0000
344.9546,287.5531,-25.5091,0.0000,0.000,5.820,5.434,1.0000
349.9431,288.3820,-30.4283,0.0000,0.000,5.915,5.391,1.0000
354.9371,289.0438,-35.3783,0.0000,0.000,5.890,5.397,1.0000
359.9375,289.5668,-40.3513,0.0000,0.000,5.820,5.422,1.0000
364.9429,289.9792,-45.3396,0.0000,0.000,5.750,5.447,1.0000
369.9496,290.3092,-50.3354,0.0000,0.000,5.681,5.472,1.0000
374.9547,290.5809,-55.3331,0.0000,0.000,5.611,5.497,1.0000
379.9585,290.8088,-60.3317,0.0000,0.000,5.582,5.493,1.0000
384.9616,291.0062,-65.3310,0.0000,0.000,5.557,5.487,1.0000
389.9645,291.1863,-70.3306,0.0000,0.000,5.532,5.480,1.0000
394.9674,291.3622,-75.3305,0.0000,0.000,5.507,5.473,1.0000
399.9706,291.5471,-80.3302,0.0000,0.000,5.482,5.467,1.0000
404.9742,291.7516,-85.3296,0.0000,0.000,5.457,5.460,1.0000
409.9778,291.9660,-90.3286,0.0000,0.000,5.431,5.453,1.0000
414.9807,292.1713,-95.3273,0.0000,0.000,5.406,5.447,1.0000
419.9822,292.3484,-100.3257,0.0000,0.000,5.382,5.429,1.0000
424.9820,292.4782,-105.3238,0.0000,0.000,5.364,5.256,1.0000
429.9802,292.5418,-110.3216,0.0000,0.000,5.345,5.083,1.0000
434.9778,292.5223,-115.3192,0.0000,0.000,5.327,4.910,1.0000
439.9760,292.4203,-120.3164,0.0000,0.000,5.309,4.738,1.0000
444.9756,292.2442,-125.3129,0.0000,0.000,5.284,4.638,1.0000
449.9772,292.0024,-130.3085,0.0000,0.000,5.250,4.639,1.0000
454.9807,291.7033,-135.3031,0.0000,0.000,5.217,4.641,1.0000
459.9860,291.3554,-140.2964,0.0000,0.000,5.183,4.642,1.0000
464.9929,290.9669,-145.2881,0.0000,0.000,5.150,4.643,1.0000
470.0005,290.5464,-150.2781,0.0000,0.000,5.116,4.645,1.0000
475.0082,290.1022,-155.2660,0.0000,0.000,5.083,4.646,1.0000
480.0151,289.6428,-160.2518,0.0000,0.000,5.049,4.647,1.0000
485.0202,289.1765,-165.2351,0.0000,0.000,5.016,4.649,1.0000
490.0224,288.7118,-170.2157,0.0000,0.000,4.982,4.650,1.0000
495.0211,288.2561,-175.1936,0.0000,0.000,4.949,4.651,1.0000
500.0167,287.8090,-180.1692,0.0000,0.000,4.915,4.653,1.0000
505.0106,287.3671,-185.1435,0.0000,0.000,4.909,4.657,1.0000
510.0039,286.9269,-190.1173,0.0000,0.000,4.905,4.662,1.0000
514.9978,286.4848,-195.0916,0.0000,0.000,4.901,4.667,1.0000
519.9934,286.0374,-200.0671,0.0000,0.000,4.897,4.672,1.0000
524.9921,285.5810,-205.0449,0.0000,0.000,4.893,4.678,1.0000
529.9950,285.1121,-210.0258,0.0000,0.000,4.889,4.683,1.0000
535.0033,284.6273,-215.0106,0.0000,0.000,4.885,4.688,1.0000
540.0184,284.1230,-220.0003,0.0000,0.000,4.881,4.693,1.0000
545.0416,283.5956,-224.9957,0.0000,0.000,4.878,4.698,1.0000
550.0742,283.0416,-229.9977,0.0000,0.000,4.874,4.703,1.0000
555.1168,282.4549,-235.0061,0.0000,0.000,4.877,4.631,1.0000
560.1431,281.7390,-239.9811,0.0000,0.000,4.881,4.548,1.0000
565.1096,280.6871,-244.8349,0.0000,0.000,4.920,4.456,1.0000
570.0196,279.0864,-249.4768,0.0000,0.000,5.179,4.309,1.0000
574.9238,276.8067,-253.8188,0.0000,0.000,5.438,4.161,1.0000
579.8436,273.8879,-257.7793,0.0000,0.000,5.566,4.382,1.0000
584.7904,270.3921,-261.2793,0.0000,0.000,5.576,4.936,1.0000
589.7927,266.4131,-264.3109,0.0000,0.000,5.578,5.440,1.0000
594.8632,262.0826,-266.9485,0.0000,0.000,5.476,5.336,1.0000
599.9703,257.5338,-269.2703,0.0000,0.000,5.375,5.232,1.0000
605.0298,252.8687,-271.2287,0.0000,0.000,5.423,4.989,1.0000
609.9468,248.1270,-272.5299,0.0000,0.000,5.638,4.590,1.0000
614.7421,243.3429,-272.8578,0.0000,0.000,5.724,4.393,1.0000
619.5496,238.5966,-272.0933,0.0000,0.000,5.637,4.463,1.0000
624.4491,234.0207,-270.3423,0.0000,0.000,5.551,4.534,1.0000
629.4586,229.7504,-267.7232,0.0000,0.000,5.436,4.579,1.0000
634.5524,225.9136,-264.3726,0.0000,0.000,5.320,4.623,1.0000
639.6626,222.6244,-260.4618,0.0000,0.000,5.260,4.640,1.0000
644.6996,219.9951,-256.1655,0.0000,0.000,5.304,4.606,1.0000
649.6184,218.0892,-251.6310,0.0000,0.000,5.348,4.573,1.0000
654.5037,216.8106,-246.9159,0.0000,0.000,5.293,4.587,1.0000
659.4220,216.0310,-242.0597,0.0000,0.000,5.212,4.612,1.0000
664.3965,215.6224,-237.1021,0.0000,0.000,5.130,4.638,1.0000
669.4189,215.4565,-232.0824,0.0000,0.000,5.054,4.663,1.0000
674.4614,215.4051,-227.0402,0.0000,0.000,4.979,4.687,1.0000
679.4954,215.3674,-222.0063,0.0000,0.000,4.903,4.712,1.0000
684.5177,215.3283,-216.9842,0.0000,0.000,4.827,4.737,1.0000
689.5300,215.2896,-211.9720,0.0000,0.000,4.843,4.793,1.0000
694.5342,215.2528,-206.9680,0.0000,0.000,4.898,4.863,1.0000
699.5321,215.2198,-201.9702,0.0000,0.000,4.953,4.933,1.0000
704.5255,215.1922,-196.9769,0.0000,0.000,5.009,5.002,1.0000
709.5162,215.1716,-191.9862,0.0000,0.000,5.064,5.072,1.0000
714.5061,215.1598,-186.9963,0.0000,0.000,5.119,5.142,1.0000
719.4971,215.1584,-182.0053,0.0000,0.000,5.174,5.212,1.0000
724.4909,215.1691,-177.0115,0.0000,0.000,5.229,5.282,1.0000
729.4895,215.1936,-172.0129,0.0000,0.000,5.284,5.352,1.0000
734.4948,215.2336,-167.0078,0.0000,0.000,5.298,5.394,1.0000
739.5073,215.2843,-161.9956,0.0000,0.000,5.158,5.333,1.0000
744.5236,215.3214,-156.9795,0.0000,0.000,5.018,5.273,1.0000
749.5398,215.3171,-151.9633,0.0000,0.000,4.878,5.212,1.0000
754.5526,215.2434,-146.9510,0.0000,0.000,4.738,5.152,1.0000
759.5600,215.0725,-141.9465,0.0000,0.000,4.598,5.092,1.0000
764.5615,214.7764,-136.9538,0.0000,0.000,4.458,5.031,1.0000
769.5585,214.3283,-131.9769,0.0000,0.000,4.334,5.000,1.0000
774.5506,213.7120,-127.0230,0.0000,0.000,4.259,5.057,1.0000
779.5367,212.9175,-122.1006,0.0000,0.000,4.183,5.114,1.0000
784.5168,211.9352,-117.2184,0.0000,0.000,4.129,5.151,1.0000
789.4920,210.7550,-112.3851,0.0000,0.000,4.245,5.031,1.0000
794.4653,209.3673,-107.6094,0.0000,0.000,4.362,4.911,1.0000
799.4412,207.7663,-102.8981,0.0000,0.000,4.478,4.791,1.0000
804.4275,205.9878,-98.2397,0.0000,0.000,4.594,4.671,1.0000
809.4285,204.0916,-93.6122,0.0000,0.000,4.649,4.621,1.0000
814.4437,202.1376,-88.9932,0.0000,0.000,4.630,4.656,1.0000
819.4706,200.1858,-84.3607,0.0000,0.000,4.611,4.691,1.0000
824.5068,198.2962,-79.6925,0.0000,0.000,4.616,4.717,1.0000
829.5513,196.5175,-74.9720,0.0000,0.000,4.634,4.739,1.0000
834.5899,194.7876,-70.2396,0.0000,0.000,4.652,4.761,1.0000
839.5988,192.9822,-65.5674,0.0000,0.000,4.555,4.851,1.0000
844.5618,190.9760,-61.0280,0.0000,0.000,4.448,4.947,1.0000
849.4835,188.6440,-56.6938,0.0000,0.000,4.341,5.043,1.0000
854.4027,185.8610,-52.6375,0.0000,0.000,4.369,5.006,1.0000
859.3921,182.5170,-48.9346,0.0000,0.000,4.423,4.943,1.0000
864.4439,178.6449,-45.6899,0.0000,0.000,4.472,4.896,1.0000
869.4933,174.3564,-43.0244,0.0000,0.000,4.519,4.853,1.0000
874.4910,169.7632,-41.0549,0.0000,0.000,4.444,4.942,1.0000
879.4480,164.9637,-39.8153,0.0000,0.000,4.306,5.097,1.0000
884.3984,160.0441,-39.2642,0.0000,0.000,4.296,5.091,1.0000
889.3540,155.0893,-39.3565,0.0000,0.000,4.380,4.967,1.0000
894.3322,150.1512,-39.9874,0.0000,0.000,4.465,4.843,1.0000
899.3476,145.2314,-40.9617,0.0000,0.000,4.489,4.828,1.0000
904.3771,140.3270,-42.0766,0.0000,0.000,4.508,4.822,1.0000
909.3927,135.4354,-43.1849,0.0000,0.000,4.527,4.816,1.0000
914.3963,130.5537,-44.2826,0.0000,0.000,4.546,4.810,1.0000
919.3951,125.6788,-45.3886,0.0000,0.000,4.565,4.804,1.0000
924.3934,120.8085,-46.5129,0.0000,0.000,4.584,4.798,1.0000
929.3919,115.9416,-47.6522,0.0000,0.000,4.602,4.792,1.0000
934.3907,111.0770,-48.8025,0.0000,0.000,4.621,4.787,1.0000
939.3900,106.2134,-49.9594,0.0000,0.000,4.640,4.781,1.0000
944.3900,101.3497,-51.1187,0.0000,0.000,4.659,4.775,1.0000
949.3908,96.4847,-52.2763,0.0000,0.000,4.677,4.762,1.0000
954.3925,91.6173,-53.4277,0.0000,0.000,4.692,4.718,1.0000
959.3954,86.7463,-54.5689,0.0000,0.000,4.706,4.674,1.0000
964.3995,81.8707,-55.6956,0.0000,0.000,4.721,4.630,1.0000
969.4053,76.9891,-56.8035,0.0000,0.000,4.735,4.586,1.0000
974.4129,72.1004,-57.8884,0.0000,0.000,4.750,4.542,1.0000
979.4226,67.2037,-58.9464,0.0000,0.000,4.764,4.498,1.0000
984.4338,62.3017,-59.9867,0.0000,0.000,4.779,4.454,1.0000
989.4437,57.4031,-61.0371,0.0000,0.000,4.793,4.410,1.0000
994.4499,52.5170,-62.1272,0.0000,0.000,4.754,4.408,1.0000
999.4507,47.6524,-63.2864,0.0000,0.000,4.579,4.511,1.0000
1004.4457,42.8184,-64.5441,0.0000,0.000,4.405,4.614,1.0000
1009.4363,38.0240,-65.9298,0.0000,0.000,4.230,4.718,1.0000
