# Hungaroring — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-2.4480,0.1259,0.0000,0.000,6.476,6.187,1.0000
4.9998,-6.3047,3.3077,0.0000,0.000,6.470,6.190,1.0000
9.9996,-10.1619,6.4890,0.0000,0.000,6.465,6.192,1.0000
14.9995,-14.0194,9.6699,0.0000,0.000,6.460,6.195,1.0000
19.9992,-17.8771,12.8504,0.0000,0.000,6.455,6.198,1.0000
24.9990,-21.7351,16.0306,0.0000,0.000,6.450,6.200,1.0000
29.9988,-25.5933,19.2105,0.0000,0.000,6.444,6.203,1.0000
34.9986,-29.4516,22.3904,0.0000,0.000,6.439,6.206,1.0000
39.9983,-33.3100,25.5701,0.0000,0.000,6.434,6.208,1.0000
44.9981,-37.1684,28.7497,0.0000,0.000,6.429,6.211,1.0000
49.9978,-41.0267,31.9294,0.0000,0.000,6.424,6.214,1.0000
54.9975,-44.8851,35.1091,0.0000,0.000,6.419,6.216,1.0000
59.9973,-48.7433,38.2890,0.0000,0.000,6.413,6.219,1.0000
64.9970,-52.6013,41.4691,0.0000,0.000,6.408,6.222,1.0000
69.9968,-56.4591,44.6495,0.0000,0.000,6.403,6.224,1.0000
74.9965,-60.3166,47.8302,0.0000,0.000,6.398,6.227,1.0000
79.9962,-64.1738,51.0113,0.0000,0.000,6.393,6.230,1.0000
84.9960,-68.0307,54.1928,0.0000,0.000,6.387,6.232,1.0000
89.9957,-71.8871,57.3748,0.0000,0.000,6.382,6.235,1.0000
94.9955,-75.7431,60.5575,0.0000,0.000,6.377,6.238,1.0000
99.9952,-79.5985,63.7407,0.0000,0.000,6.372,6.240,1.0000
104.9950,-83.4535,66.9245,0.0000,0.000,6.367,6.243,1.0000
109.9948,-87.3081,70.1088,0.0000,0.000,6.362,6.246,1.0000
114.9946,-91.1624,73.2936,0.0000,0.000,6.356,6.248,1.0000
119.9943,-95.0163,76.4787,0.0000,0.000,6.351,6.251,1.0000
124.9941,-98.8699,79.6642,0.0000,0.000,6.346,6.254,1.0000
129.9939,-102.7233,82.8500,0.0000,0.000,6.341,6.256,1.0000
134.9937,-106.5766,86.0360,0.0000,0.000,6.336,6.259,1.0000
139.9935,-110.4296,89.2222,0.0000,0.000,6.330,6.262,1.0000
