# Circuit de Barcelona-Catalunya — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-0.4732,0.7493,0.0000,0.000,5.830,5.894,1.0000
4.9989,-3.1826,-3.4516,0.0000,0.000,5.830,5.889,1.0000
9.9977,-5.8919,-7.6526,0.0000,0.000,5.831,5.884,1.0000
14.9966,-8.6010,-11.8537,0.0000,0.000,5.831,5.879,1.0000
19.9954,-11.3099,-16.0549,0.0000,0.000,5.832,5.875,1.0000
24.9943,-14.0187,-20.2563,0.0000,0.000,5.832,5.870,1.0000
29.9932,-16.7273,-24.4577,0.0000,0.000,5.832,5.865,1.0000
34.9920,-19.4358,-28.6592,0.0000,0.000,5.833,5.860,1.0000
39.9909,-22.1442,-32.8608,0.0000,0.000,5.833,5.856,1.0000
44.9897,-24.8525,-37.0624,0.0000,0.000,5.833,5.851,1.0000
49.9886,-27.5606,-41.2641,0.0000,0.000,5.834,5.846,1.0000
54.9874,-30.2687,-45.4658,0.0000,0.000,5.834,5.841,1.0000
59.9863,-32.9768,-49.6676,0.0000,0.000,5.835,5.837,1.0000
64.9851,-35.6848,-53.8694,0.0000,0.000,5.835,5.832,1.0000
69.9839,-38.3927,-58.0713,0.0000,0.000,5.835,5.827,1.0000
74.9828,-41.1006,-62.2731,0.0000,0.000,5.836,5.822,1.0000
79.9816,-43.8085,-66.4750,0.0000,0.000,5.836,5.818,1.0000
84.9805,-46.5164,-70.6769,0.0000,0.000,5.837,5.813,1.0000
89.9793,-49.2243,-74.8788,0.0000,0.000,5.837,5.808,1.0000
94.9782,-51.9323,-79.0806,0.0000,0.000,5.837,5.803,1.0000
99.9770,-54.6403,-83.2824,0.0000,0.000,5.838,5.799,1.0000
104.9759,-57.3483,-87.4842,0.0000,0.000,5.838,5.794,1.0000
109.9747,-60.0564,-91.6860,0.0000,0.000,5.838,5.789,1.0000
114.9736,-62.7645,-95.8877,0.0000,0.000,5.839,5.784,1.0000
119.9725,-65.4728,-100.0894,0.0000,0.000,5.839,5.781,1.0000
124.9713,-68.1811,-104.2910,0.0000,0.000,5.839,5.786,1.0000
129.9702,-70.8896,-108.4925,0.0000,0.000,5.840,5.790,1.0000
134.9690,-73.5981,-112.6940,0.0000,0.000,5.840,5.794,1.0000
139.9679,-76.3069,-116.8953,0.0000,0.000,5.840,5.798,1.0000
144.9668,-79.0157,-121.0967,0.0000,0.000,5.840,5.803,1.0000
149.9656,-81.7246,-125.2979,0.0000,0.000,5.841,5.807,1.0000
154.9645,-84.4336,-129.4991,0.0000,0.000,5.841,5.811,1.0000
159.9634,-87.1427,-133.7002,0.0000,0.000,5.841,5.815,1.0000
164.9623,-89.8519,-137.9013,0.0000,0.000,5.841,5.820,1.0000
169.9612,-92.5612,-142.1023,0.0000,0.000,5.841,5.824,1.0000
174.9600,-95.2705,-146.3033,0.0000,0.000,5.842,5.828,1.0000
179.9589,-97.9799,-150.5043,0.0000,0.000,5.842,5.832,1.0000
184.9578,-100.6893,-154.7052,0.0000,0.000,5.842,5.837,1.0000
189.9567,-103.3987,-158.9062,0.0000,0.000,5.842,5.841,1.0000
194.9556,-106.1082,-163.1071,0.0000,0.000,5.843,5.845,1.0000
199.9545,-108.8177,-167.3080,0.0000,0.000,5.843,5.849,1.0000
204.9534,-111.5271,-171.5089,0.0000,0.000,5.843,5.854,1.0000
209.9523,-114.2366,-175.7098,0.0000,0.000,5.843,5.858,1.0000
214.9512,-116.9461,-179.9108,0.0000,0.000,5.844,5.862,1.0000
219.9501,-119.6555,-184.1117,0.0000,0.000,5.844,5.866,1.0000
224.9490,-122.3649,-188.3127,0.0000,0.000,5.844,5.871,1.0000
229.9479,-125.0742,-192.5137,0.0000,0.000,5.844,5.875,1.0000
234.9468,-127.7835,-196.7147,0.0000,0.000,5.844,5.879,1.0000
239.9457,-130.4928,-200.9158,0.0000,0.000,5.845,5.883,1.0000
244.9446,-133.2019,-205.1169,0.0000,0.000,5.845,5.888,1.0000
249.9435,-135.9110,-209.3181,0.0000,0.000,5.845,5.892,1.0000
254.9424,-138.6200,-213.5194,0.0000,0.000,5.845,5.896,1.0000
259.9413,-141.3289,-217.7207,0.0000,0.000,5.846,5.900,1.0000
264.9402,-144.0377,-221.9220,0.0000,0.000,5.846,5.905,1.0000
269.9391,-146.7463,-226.1235,0.0000,0.000,5.846,5.909,1.0000
274.9380,-149.4549,-230.3250,0.0000,0.000,5.846,5.913,1.0000
279.9369,-152.1632,-234.5267,0.0000,0.000,5.846,5.917,1.0000
284.9358,-154.8715,-238.7284,0.0000,0.000,5.847,5.922,1.0000
289.9347,-157.5796,-242.9302,0.0000,0.000,5.847,5.926,1.0000
294.9336,-160.2875,-247.1321,0.0000,0.000,5.847,5.930,1.0000
299.9325,-162.9952,-251.3342,0.0000,0.000,5.847,5.934,1.0000
304.9314,-165.7028,-255.5364,0.0000,0.000,5.847,5.935,1.0000
309.9303,-168.4102,-259.7386,0.0000,0.000,5.847,5.936,1.0000
314.9292,-171.1173,-263.9411,0.0000,0.000,5.847,5.937,1.0000
319.9281,-173.8243,-268.1436,0.0000,0.000,5.848,5.938,1.0000
324.9270,-176.5310,-272.3463,0.0000,0.000,5.848,5.939,1.0000
329.9259,-179.2375,-276.5492,0.0000,0.000,5.848,5.940,1.0000
334.9248,-181.9437,-280.7522,0.0000,0.000,5.848,5.941,1.0000
339.9237,-184.6497,-284.9553,0.0000,0.000,5.848,5.942,1.0000
344.9226,-187.3555,-289.1587,0.0000,0.000,5.848,5.943,1.0000
349.9215,-190.0610,-293.3622,0.0000,0.000,5.848,5.944,1.0000
354.9204,-192.7662,-297.5658,0.0000,0.000,5.848,5.945,1.0000
359.9193,-195.4711,-301.7697,0.0000,0.000,5.848,5.946,1.0000
364.9182,-198.1757,-305.9738,0.0000,0.000,5.848,5.947,1.0000
369.9171,-200.8800,-310.1780,0.0000,0.000,5.848,5.948,1.0000
374.9160,-203.5839,-314.3825,0.0000,0.000,5.848,5.949,1.0000
379.9149,-206.2876,-318.5871,0.0000,0.000,5.848,5.950,1.0000
384.9138,-208.9909,-322.7920,0.0000,0.000,5.848,5.951,1.0000
389.9127,-211.6939,-326.9971,0.0000,0.000,5.848,5.952,1.0000
394.9116,-214.3965,-331.2024,0.0000,0.000,5.848,5.953,1.0000
399.9105,-217.0988,-335.4080,0.0000,0.000,5.848,5.954,1.0000
404.9094,-219.8007,-339.6138,0.0000,0.000,5.848,5.955,1.0000
409.9083,-222.5022,-343.8198,0.0000,0.000,5.848,5.956,1.0000
414.9071,-225.2033,-348.0261,0.0000,0.000,5.848,5.957,1.0000
