# Hockenheimring — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,0.6939,-2.3149,0.0000,0.000,6.679,6.405,1.0000
5.0041,-1.4728,2.1959,0.0000,0.000,6.687,6.387,1.0000
10.0087,-3.6332,6.7102,0.0000,0.000,6.669,6.414,1.0000
15.0137,-5.7881,11.2274,0.0000,0.000,6.652,6.440,1.0000
20.0189,-7.9384,15.7472,0.0000,0.000,6.634,6.467,1.0000
25.0242,-10.0849,20.2689,0.0000,0.000,6.617,6.493,1.0000
30.0295,-12.2282,24.7921,0.0000,0.000,6.599,6.520,1.0000
35.0348,-14.3693,29.3164,0.0000,0.000,6.582,6.546,1.0000
40.0399,-16.5089,33.8411,0.0000,0.000,6.564,6.572,1.0000
45.0447,-18.6478,38.3658,0.0000,0.000,6.547,6.599,1.0000
50.0491,-20.7869,42.8899,0.0000,0.000,6.529,6.625,1.0000
55.0529,-22.9269,47.4131,0.0000,0.000,6.512,6.652,1.0000
60.0561,-25.0686,51.9347,0.0000,0.000,6.494,6.678,1.0000
65.0586,-27.2129,56.4543,0.0000,0.000,6.477,6.705,1.0000
70.0602,-29.3604,60.9714,0.0000,0.000,6.459,6.731,1.0000
75.0609,-31.5121,65.4855,0.0000,0.000,6.442,6.758,1.0000
80.0608,-33.6690,69.9963,0.0000,0.000,6.424,6.784,1.0000
85.0602,-35.8319,74.5036,0.0000,0.000,6.407,6.811,1.0000
90.0592,-38.0020,79.0070,0.0000,0.000,6.389,6.837,1.0000
95.0580,-40.1801,83.5063,0.0000,0.000,6.372,6.863,1.0000
100.0568,-42.3672,88.0012,0.0000,0.000,6.354,6.890,1.0000
105.0558,-44.5644,92.4916,0.0000,0.000,6.337,6.916,1.0000
110.0553,-46.7726,96.9769,0.0000,0.000,6.326,6.928,1.0000
115.0555,-48.9928,101.4571,0.0000,0.000,6.332,6.899,1.0000
120.0565,-51.2260,105.9319,0.0000,0.000,6.339,6.871,1.0000
125.0587,-53.4731,110.4009,0.0000,0.000,6.345,6.842,1.0000
130.0622,-55.7352,114.8639,0.0000,0.000,6.352,6.813,1.0000
135.0674,-58.0132,119.3206,0.0000,0.000,6.358,6.785,1.0000
140.0744,-60.3081,123.7708,0.0000,0.000,6.365,6.756,1.0000
145.0835,-62.6200,128.2144,0.0000,0.000,6.371,6.728,1.0000
150.0941,-64.9467,132.6521,0.0000,0.000,6.378,6.699,1.0000
155.1057,-67.2852,137.0846,0.0000,0.000,6.384,6.670,1.0000
160.1176,-69.6326,141.5128,0.0000,0.000,6.391,6.642,1.0000
165.1294,-71.9862,145.9375,0.0000,0.000,6.397,6.613,1.0000
170.1403,-74.3431,150.3595,0.0000,0.000,6.404,6.585,1.0000
175.1496,-76.7005,154.7796,0.0000,0.000,6.410,6.556,1.0000
180.1569,-79.0554,159.1985,0.0000,0.000,6.417,6.527,1.0000
185.1614,-81.4051,163.6171,0.0000,0.000,6.423,6.499,1.0000
190.1625,-83.7467,168.0361,0.0000,0.000,6.430,6.470,1.0000
195.1596,-86.0774,172.4564,0.0000,0.000,6.436,6.441,1.0000
200.1522,-88.3943,176.8788,0.0000,0.000,6.443,6.413,1.0000
205.1396,-90.6945,181.3041,0.0000,0.000,6.449,6.384,1.0000
210.1212,-92.9753,185.7330,0.0000,0.000,6.456,6.356,1.0000
215.0972,-95.2347,190.1664,0.0000,0.000,6.462,6.327,1.0000
220.0723,-97.4810,194.6056,0.0000,0.000,6.469,6.298,1.0000
225.0544,-99.7283,199.0520,0.0000,0.000,6.425,6.278,1.0000
230.0510,-101.9908,203.5070,0.0000,0.000,6.333,6.267,1.0000
235.0701,-104.2827,207.9722,0.0000,0.000,6.242,6.255,1.0000
240.1195,-106.6183,212.4490,0.0000,0.000,6.150,6.244,1.0000
245.2075,-109.0117,216.9389,0.0000,0.000,6.059,6.232,1.0000
250.3388,-111.4685,221.4438,0.0000,0.000,5.967,6.220,1.0000
255.4370,-113.8043,225.9755,0.0000,0.000,5.958,6.134,1.0000
260.3743,-115.6484,230.5555,0.0000,0.000,6.370,5.667,1.0000
265.1254,-116.6226,235.2057,0.0000,0.000,6.781,5.201,1.0000
269.8609,-116.4401,239.9377,0.0000,0.000,6.923,5.583,1.0000
274.7690,-115.2927,244.7097,0.0000,0.000,6.935,6.377,1.0000
279.8391,-113.5277,249.4627,0.0000,0.000,6.840,6.502,1.0000
284.9391,-111.4907,254.1382,0.0000,0.000,6.703,6.367,1.0000
289.9694,-109.4029,258.7148,0.0000,0.000,6.566,6.231,1.0000
294.9519,-107.2941,263.2290,0.0000,0.000,6.429,6.095,1.0000
299.9187,-105.1774,267.7223,0.0000,0.000,6.292,5.960,1.0000
304.8992,-103.0641,272.2321,0.0000,0.000,6.155,5.824,1.0000
309.8982,-100.9481,276.7613,0.0000,0.000,6.018,5.688,1.0000
314.9081,-98.8145,281.2941,0.0000,0.000,5.881,5.553,1.0000
319.9209,-96.6482,285.8146,0.0000,0.000,5.934,5.607,1.0000
