# Indianapolis Motor Speedway (oval) — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-0.0291,-0.0005,0.0000,0.000,7.679,7.621,1.0000
4.9975,0.0721,-4.9970,0.0000,0.000,7.679,7.621,1.0000
9.9950,0.1734,-9.9934,0.0000,0.000,7.679,7.621,1.0000
14.9925,0.2749,-14.9899,0.0000,0.000,7.679,7.621,1.0000
19.9900,0.3765,-19.9864,0.0000,0.000,7.679,7.621,1.0000
24.9875,0.4783,-24.9829,0.0000,0.000,7.679,7.621,1.0000
29.9850,0.5801,-29.9793,0.0000,0.000,7.678,7.622,1.0000
34.9825,0.6821,-34.9758,0.0000,0.000,7.678,7.622,1.0000
39.9801,0.7841,-39.9723,0.0000,0.000,7.678,7.622,1.0000
44.9776,0.8862,-44.9688,0.0000,0.000,7.678,7.622,1.0000
49.9751,0.9883,-49.9652,0.0000,0.000,7.678,7.622,1.0000
54.9726,1.0905,-54.9617,0.0000,0.000,7.678,7.622,1.0000
59.9701,1.1927,-59.9582,0.0000,0.000,7.678,7.622,1.0000
64.9676,1.2950,-64.9546,0.0000,0.000,7.678,7.622,1.0000
69.9651,1.3972,-69.9511,0.0000,0.000,7.678,7.622,1.0000
74.9627,1.4994,-74.9476,0.0000,0.000,7.678,7.622,1.0000
79.9601,1.6016,-79.9440,0.0000,0.000,7.678,7.622,1.0000
84.9576,1.7037,-84.9405,0.0000,0.000,7.677,7.623,1.0000
89.9551,1.8058,-89.9369,0.0000,0.000,7.677,7.623,1.0000
94.9526,1.9078,-94.9334,0.0000,0.000,7.677,7.623,1.0000
99.9501,2.0098,-99.9298,0.0000,0.000,7.677,7.623,1.0000
104.9475,2.1116,-104.9262,0.0000,0.000,7.677,7.623,1.0000
109.9450,2.2133,-109.9226,0.0000,0.000,7.677,7.623,1.0000
114.9424,2.3149,-114.9190,0.0000,0.000,7.677,7.623,1.0000
