# Albert Park Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-0.9611,-1.2626,0.0000,0.000,6.293,6.341,1.0000
5.0020,-4.5633,2.2079,0.0000,0.000,6.306,6.354,1.0000
10.0042,-8.1654,5.6787,0.0000,0.000,6.319,6.367,1.0000
15.0064,-11.7673,9.1498,0.0000,0.000,6.332,6.380,1.0000
20.0087,-15.3690,12.6212,0.0000,0.000,6.345,6.393,1.0000
25.0110,-18.9706,16.0928,0.0000,0.000,6.358,6.406,1.0000
30.0135,-22.5720,19.5647,0.0000,0.000,6.371,6.419,1.0000
35.0160,-26.1734,23.0368,0.0000,0.000,6.384,6.432,1.0000
40.0185,-29.7746,26.5090,0.0000,0.000,6.397,6.445,1.0000
45.0211,-33.3759,29.9813,0.0000,0.000,6.410,6.458,1.0000
50.0238,-36.9771,33.4538,0.0000,0.000,6.423,6.471,1.0000
55.0265,-40.5782,36.9263,0.0000,0.000,6.435,6.484,1.0000
60.0292,-44.1794,40.3989,0.0000,0.000,6.448,6.497,1.0000
65.0319,-47.7806,43.8715,0.0000,0.000,6.461,6.510,1.0000
70.0347,-51.3819,47.3441,0.0000,0.000,6.474,6.523,1.0000
75.0375,-54.9832,50.8166,0.0000,0.000,6.487,6.536,1.0000
80.0404,-58.5847,54.2890,0.0000,0.000,6.500,6.549,1.0000
85.0432,-62.1862,57.7614,0.0000,0.000,6.513,6.562,1.0000
90.0460,-65.7879,61.2336,0.0000,0.000,6.526,6.575,1.0000
95.0489,-69.3897,64.7056,0.0000,0.000,6.539,6.588,1.0000
100.0517,-72.9918,68.1775,0.0000,0.000,6.552,6.601,1.0000
105.0545,-76.5940,71.6491,0.0000,0.000,6.565,6.614,1.0000
110.0573,-80.1964,75.1205,0.0000,0.000,6.578,6.627,1.0000
115.0601,-83.7991,78.5915,0.0000,0.000,6.591,6.640,1.0000
120.0628,-87.4021,82.0623,0.0000,0.000,6.604,6.653,1.0000
125.0656,-91.0053,85.5327,0.0000,0.000,6.617,6.666,1.0000
130.0682,-94.6089,89.0028,0.0000,0.000,6.630,6.679,1.0000
135.0709,-98.2128,92.4724,0.0000,0.000,6.642,6.692,1.0000
140.0735,-101.8170,95.9416,0.0000,0.000,6.655,6.705,1.0000
145.0760,-105.4216,99.4104,0.0000,0.000,6.668,6.718,1.0000
150.0785,-109.0266,102.8786,0.0000,0.000,6.681,6.731,1.0000
155.0809,-112.6321,106.3463,0.0000,0.000,6.694,6.744,1.0000
160.0833,-116.2379,109.8135,0.0000,0.000,6.707,6.757,1.0000
165.0855,-119.8442,113.2801,0.0000,0.000,6.720,6.769,1.0000
170.0877,-123.4510,116.7461,0.0000,0.000,6.733,6.782,1.0000
175.0898,-127.0583,120.2114,0.0000,0.000,6.746,6.795,1.0000
180.0919,-130.6661,123.6761,0.0000,0.000,6.759,6.808,1.0000
185.0938,-134.2745,127.1400,0.0000,0.000,6.772,6.821,1.0000
190.0956,-137.8834,130.6032,0.0000,0.000,6.785,6.834,1.0000
195.0973,-141.4930,134.0657,0.0000,0.000,6.798,6.847,1.0000
200.0989,-145.1031,137.5274,0.0000,0.000,6.811,6.860,1.0000
205.1004,-148.7138,140.9882,0.0000,0.000,6.821,6.869,1.0000
210.1018,-152.3252,144.4482,0.0000,0.000,6.826,6.864,1.0000
215.1031,-155.9373,147.9073,0.0000,0.000,6.829,6.861,1.0000
220.1042,-159.5501,151.3655,0.0000,0.000,6.808,6.882,1.0000
225.1052,-163.1636,154.8227,0.0000,0.000,6.786,6.904,1.0000
230.1060,-166.7778,158.2790,0.0000,0.000,6.765,6.925,1.0000
235.1067,-170.3928,161.7343,0.0000,0.000,6.743,6.947,1.0000
240.1073,-174.0086,165.1885,0.0000,0.000,6.721,6.969,1.0000
245.1077,-177.6251,168.6417,0.0000,0.000,6.700,6.990,1.0000
250.1079,-181.2425,172.0938,0.0000,0.000,6.678,7.012,1.0000
255.1080,-184.8608,175.5448,0.0000,0.000,6.689,7.001,1.0000
