# Autódromo Hermanos Rodríguez — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-1.9086,3.2387,0.0000,0.000,6.591,7.100,1.0000
5.0026,3.0399,2.5051,0.0000,0.000,6.591,7.116,1.0000
10.0053,7.9890,1.7752,0.0000,0.000,6.591,7.133,1.0000
15.0079,12.9387,1.0488,0.0000,0.000,6.593,7.130,1.0000
20.0106,17.8888,0.3259,0.0000,0.000,6.595,7.128,1.0000
25.0133,22.8395,-0.3937,0.0000,0.000,6.597,7.126,1.0000
30.0160,27.7906,-1.1103,0.0000,0.000,6.599,7.123,1.0000
35.0187,32.7421,-1.8239,0.0000,0.000,6.601,7.121,1.0000
40.0214,37.6941,-2.5348,0.0000,0.000,6.602,7.119,1.0000
45.0241,42.6464,-3.2431,0.0000,0.000,6.604,7.117,1.0000
50.0269,47.5991,-3.9490,0.0000,0.000,6.606,7.114,1.0000
55.0296,52.5521,-4.6527,0.0000,0.000,6.608,7.112,1.0000
60.0324,57.5054,-5.3542,0.0000,0.000,6.610,7.110,1.0000
65.0351,62.4590,-6.0539,0.0000,0.000,6.612,7.108,1.0000
70.0379,67.4129,-6.7518,0.0000,0.000,6.614,7.105,1.0000
75.0407,72.3669,-7.4482,0.0000,0.000,6.616,7.103,1.0000
80.0435,77.3212,-8.1431,0.0000,0.000,6.618,7.101,1.0000
85.0462,82.2757,-8.8368,0.0000,0.000,6.620,7.099,1.0000
90.0490,87.2303,-9.5295,0.0000,0.000,6.622,7.096,1.0000
95.0518,92.1850,-10.2212,0.0000,0.000,6.623,7.094,1.0000
100.0545,97.1398,-10.9122,0.0000,0.000,6.625,7.092,1.0000
105.0573,102.0947,-11.6025,0.0000,0.000,6.627,7.089,1.0000
110.0601,107.0497,-12.2923,0.0000,0.000,6.629,7.087,1.0000
115.0628,112.0047,-12.9814,0.0000,0.000,6.631,7.085,1.0000
120.0655,116.9598,-13.6701,0.0000,0.000,6.633,7.083,1.0000
125.0683,121.9150,-14.3582,0.0000,0.000,6.635,7.080,1.0000
130.0710,126.8703,-15.0458,0.0000,0.000,6.637,7.078,1.0000
