# Circuit Gilles Villeneuve — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,0.1234,-0.7393,0.0000,0.000,5.699,5.388,1.0000
4.9971,1.2266,-5.6130,0.0000,0.000,5.669,5.352,1.0000
9.9937,2.3278,-10.4868,0.0000,0.000,5.636,5.314,1.0000
14.9899,3.4191,-15.3624,0.0000,0.000,5.603,5.276,1.0000
19.9856,4.4886,-20.2422,0.0000,0.000,5.570,5.238,1.0000
24.9809,5.5245,-25.1289,0.0000,0.000,5.537,5.200,1.0000
29.9763,6.5150,-30.0251,0.0000,0.000,5.504,5.162,1.0000
34.9724,7.4481,-34.9334,0.0000,0.000,5.471,5.124,1.0000
39.9705,8.3121,-39.8562,0.0000,0.000,5.469,5.147,1.0000
44.9717,9.0970,-44.7955,0.0000,0.000,5.477,5.189,1.0000
49.9760,9.8019,-49.7498,0.0000,0.000,5.485,5.232,1.0000
54.9823,10.4288,-54.7168,0.0000,0.000,5.493,5.274,1.0000
59.9899,10.9795,-59.6940,0.0000,0.000,5.501,5.317,1.0000
64.9976,11.4560,-64.6790,0.0000,0.000,5.509,5.359,1.0000
70.0043,11.8603,-69.6693,0.0000,0.000,5.560,5.378,1.0000
75.0087,12.1941,-74.6626,0.0000,0.000,5.659,5.370,1.0000
80.0101,12.4597,-79.6569,0.0000,0.000,5.758,5.362,1.0000
85.0090,12.6596,-84.6518,0.0000,0.000,5.856,5.354,1.0000
90.0062,12.7963,-89.6471,0.0000,0.000,5.955,5.345,1.0000
95.0023,12.8726,-94.6426,0.0000,0.000,6.052,5.342,1.0000
99.9978,12.8909,-99.6381,0.0000,0.000,6.091,5.492,1.0000
104.9932,12.8541,-104.6333,0.0000,0.000,6.130,5.641,1.0000
109.9887,12.7646,-109.6281,0.0000,0.000,6.170,5.790,1.0000
114.9848,12.6251,-114.6222,0.0000,0.000,6.209,5.940,1.0000
119.9815,12.4383,-119.6154,0.0000,0.000,6.248,6.089,1.0000
124.9790,12.2066,-124.6075,0.0000,0.000,6.286,6.230,1.0000
129.9773,11.9329,-129.5983,0.0000,0.000,6.296,6.204,1.0000
134.9764,11.6196,-134.5877,0.0000,0.000,6.306,6.177,1.0000
139.9763,11.2694,-139.5752,0.0000,0.000,6.316,6.151,1.0000
144.9767,10.8850,-144.5609,0.0000,0.000,6.326,6.124,1.0000
149.9777,10.4694,-149.5446,0.0000,0.000,6.335,6.098,1.0000
154.9792,10.0259,-154.5264,0.0000,0.000,6.345,6.071,1.0000
159.9811,9.5581,-159.5064,0.0000,0.000,6.355,6.045,1.0000
164.9834,9.0693,-164.4847,0.0000,0.000,6.349,6.054,1.0000
169.9858,8.5630,-169.4614,0.0000,0.000,6.333,6.086,1.0000
174.9882,8.0426,-174.4367,0.0000,0.000,6.316,6.117,1.0000
179.9903,7.5114,-179.4105,0.0000,0.000,6.300,6.149,1.0000
184.9920,6.9730,-184.3831,0.0000,0.000,6.284,6.180,1.0000
189.9928,6.4306,-189.3544,0.0000,0.000,6.268,6.211,1.0000
194.9926,5.8879,-194.3247,0.0000,0.000,6.251,6.243,1.0000
199.9911,5.3481,-199.2939,0.0000,0.000,6.235,6.274,1.0000
204.9880,4.8147,-204.2623,0.0000,0.000,6.219,6.306,1.0000
209.9831,4.2911,-209.2298,0.0000,0.000,6.202,6.337,1.0000
214.9767,3.7754,-214.1967,0.0000,0.000,6.195,6.372,1.0000
219.9719,3.2409,-219.1633,0.0000,0.000,6.206,6.414,1.0000
224.9732,2.6532,-224.1299,0.0000,0.000,6.288,6.361,1.0000
229.9857,1.9802,-229.0970,0.0000,0.000,6.391,6.279,1.0000
235.0052,1.2949,-234.0696,0.0000,0.000,6.495,6.196,1.0000
240.0163,0.8283,-239.0589,0.0000,0.000,6.553,6.266,1.0000
245.0343,0.8239,-244.0769,0.0000,0.000,6.557,6.526,1.0000
250.0747,1.4825,-249.0741,0.0000,0.000,6.072,6.826,1.0000
255.0482,2.8942,-253.8430,0.0000,0.000,6.051,6.844,1.0000
259.9022,5.1311,-258.1508,0.0000,0.000,6.216,6.814,1.0000
264.6883,8.2561,-261.7759,0.0000,0.000,6.360,6.834,1.0000
269.5678,12.1623,-264.7001,0.0000,0.000,6.547,6.774,1.0000
274.6009,16.5969,-267.0806,0.0000,0.000,6.518,6.727,1.0000
279.7146,21.3035,-269.0800,0.0000,0.000,6.379,6.688,1.0000
284.8271,26.1016,-270.8455,0.0000,0.000,6.239,6.649,1.0000
289.9218,30.9192,-272.5025,0.0000,0.000,6.100,6.610,1.0000
294.9800,35.6931,-274.1744,0.0000,0.000,5.961,6.570,1.0000
299.9857,40.3599,-275.9849,0.0000,0.000,5.821,6.531,1.0000
304.9366,44.8562,-278.0573,0.0000,0.000,5.999,6.143,1.0000
309.8569,49.1186,-280.5153,0.0000,0.000,6.184,5.861,1.0000
314.8047,53.0826,-283.4763,0.0000,0.000,6.361,6.072,1.0000
319.7958,56.6633,-286.9532,0.0000,0.000,6.608,6.285,1.0000
324.7890,59.7589,-290.8711,0.0000,0.000,7.495,6.849,1.0000
329.7505,62.2670,-295.1519,0.0000,0.000,7.842,6.706,1.0000
334.6652,64.0850,-299.7180,0.0000,0.000,7.268,6.824,1.0000
339.5476,65.1106,-304.4915,0.0000,0.000,6.985,6.927,1.0000
344.4524,65.2413,-309.3945,0.0000,0.000,6.886,6.965,1.0000
349.4682,64.3917,-314.3379,0.0000,0.000,6.667,6.917,1.0000
354.5909,62.6122,-319.1416,0.0000,0.000,6.613,6.845,1.0000
359.7336,60.0185,-323.5822,0.0000,0.000,7.082,6.647,1.0000
364.8023,56.7265,-327.4365,0.0000,0.000,7.255,6.665,1.0000
369.7758,52.8601,-330.5648,0.0000,0.000,6.937,6.846,1.0000
374.7274,48.5617,-333.0230,0.0000,0.000,6.644,6.827,1.0000
379.6802,43.9761,-334.8946,0.0000,0.000,6.291,6.448,1.0000
384.6182,39.2298,-336.2567,0.0000,0.000,6.069,5.810,1.0000
389.5593,34.3719,-337.1598,0.0000,0.000,5.863,5.238,1.0000
394.5237,29.4315,-337.6470,0.0000,0.000,5.462,5.010,1.0000
399.5188,24.4377,-337.7618,0.0000,0.000,5.014,4.922,1.0000
404.5414,19.4197,-337.5475,0.0000,0.000,4.710,4.908,1.0000
