# Autodromo Nazionale Monza — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-0.3201,1.0877,0.0000,0.000,5.932,5.739,1.0000
4.9984,0.1683,6.0622,0.0000,0.000,5.929,5.735,1.0000
9.9967,0.6561,11.0366,0.0000,0.000,5.926,5.731,1.0000
14.9950,1.1435,16.0111,0.0000,0.000,5.923,5.727,1.0000
19.9932,1.6305,20.9855,0.0000,0.000,5.920,5.723,1.0000
24.9913,2.1171,25.9599,0.0000,0.000,5.917,5.719,1.0000
29.9894,2.6034,30.9342,0.0000,0.000,5.914,5.715,1.0000
34.9874,3.0894,35.9086,0.0000,0.000,5.911,5.711,1.0000
39.9854,3.5751,40.8829,0.0000,0.000,5.908,5.707,1.0000
44.9833,4.0606,45.8572,0.0000,0.000,5.905,5.703,1.0000
49.9811,4.5459,50.8314,0.0000,0.000,5.902,5.700,1.0000
54.9790,5.0311,55.8056,0.0000,0.000,5.899,5.696,1.0000
59.9767,5.5162,60.7798,0.0000,0.000,5.896,5.692,1.0000
64.9745,6.0012,65.7540,0.0000,0.000,5.893,5.688,1.0000
69.9722,6.4862,70.7281,0.0000,0.000,5.890,5.684,1.0000
74.9699,6.9713,75.7022,0.0000,0.000,5.887,5.680,1.0000
79.9675,7.4565,80.6762,0.0000,0.000,5.884,5.676,1.0000
84.9652,7.9417,85.6502,0.0000,0.000,5.881,5.672,1.0000
89.9628,8.4272,90.6242,0.0000,0.000,5.878,5.668,1.0000
94.9603,8.9128,95.5981,0.0000,0.000,5.875,5.664,1.0000
99.9579,9.3987,100.5720,0.0000,0.000,5.872,5.660,1.0000
104.9555,9.8849,105.5459,0.0000,0.000,5.869,5.656,1.0000
109.9530,10.3714,110.5197,0.0000,0.000,5.866,5.652,1.0000
114.9505,10.8582,115.4934,0.0000,0.000,5.863,5.648,1.0000
119.9480,11.3455,120.4671,0.0000,0.000,5.860,5.644,1.0000
124.9456,11.8333,125.4408,0.0000,0.000,5.858,5.640,1.0000
129.9431,12.3215,130.4144,0.0000,0.000,5.855,5.636,1.0000
134.9406,12.8103,135.3880,0.0000,0.000,5.852,5.632,1.0000
139.9381,13.2996,140.3615,0.0000,0.000,5.849,5.628,1.0000
144.9357,13.7896,145.3350,0.0000,0.000,5.846,5.624,1.0000
149.9332,14.2802,150.3084,0.0000,0.000,5.843,5.620,1.0000
154.9308,14.7716,155.2817,0.0000,0.000,5.840,5.616,1.0000
159.9284,15.2637,160.2550,0.0000,0.000,5.837,5.612,1.0000
164.9260,15.7566,165.2283,0.0000,0.000,5.834,5.608,1.0000
169.9236,16.2503,170.2015,0.0000,0.000,5.831,5.604,1.0000
174.9213,16.7448,175.1746,0.0000,0.000,5.828,5.600,1.0000
179.9190,17.2403,180.1477,0.0000,0.000,5.825,5.597,1.0000
184.9167,17.7368,185.1207,0.0000,0.000,5.822,5.593,1.0000
189.9145,18.2342,190.0936,0.0000,0.000,5.819,5.589,1.0000
194.9123,18.7324,195.0665,0.0000,0.000,5.816,5.585,1.0000
199.9101,19.2314,200.0394,0.0000,0.000,5.813,5.581,1.0000
204.9080,19.7310,205.0122,0.0000,0.000,5.810,5.577,1.0000
209.9058,20.2312,209.9850,0.0000,0.000,5.807,5.573,1.0000
214.9037,20.7319,214.9577,0.0000,0.000,5.804,5.569,1.0000
219.9017,21.2330,219.9305,0.0000,0.000,5.801,5.565,1.0000
224.8996,21.7345,224.9032,0.0000,0.000,5.798,5.561,1.0000
229.8976,22.2361,229.8759,0.0000,0.000,5.795,5.557,1.0000
234.8956,22.7380,234.8487,0.0000,0.000,5.792,5.553,1.0000
239.8936,23.2399,239.8214,0.0000,0.000,5.789,5.549,1.0000
