# Moscow Raceway — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,0.8935,-0.1319,0.0000,0.000,6.598,6.737,1.0000
5.0046,1.4418,4.8426,0.0000,0.000,6.596,6.734,1.0000
10.0092,1.9909,9.8169,0.0000,0.000,6.595,6.732,1.0000
15.0136,2.5405,14.7911,0.0000,0.000,6.594,6.730,1.0000
20.0180,3.0905,19.7652,0.0000,0.000,6.592,6.727,1.0000
25.0223,3.6409,24.7391,0.0000,0.000,6.591,6.725,1.0000
30.0265,4.1914,29.7129,0.0000,0.000,6.590,6.723,1.0000
35.0306,4.7420,34.6867,0.0000,0.000,6.589,6.720,1.0000
40.0347,5.2924,39.6604,0.0000,0.000,6.587,6.718,1.0000
45.0387,5.8427,44.6341,0.0000,0.000,6.586,6.715,1.0000
50.0427,6.3926,49.6077,0.0000,0.000,6.585,6.713,1.0000
55.0466,6.9420,54.5814,0.0000,0.000,6.583,6.711,1.0000
60.0505,7.4908,59.5551,0.0000,0.000,6.582,6.708,1.0000
65.0544,8.0388,64.5289,0.0000,0.000,6.581,6.706,1.0000
70.0582,8.5860,69.5027,0.0000,0.000,6.580,6.704,1.0000
75.0621,9.1321,74.4767,0.0000,0.000,6.578,6.701,1.0000
80.0659,9.6771,79.4508,0.0000,0.000,6.577,6.699,1.0000
85.0697,10.2207,84.4250,0.0000,0.000,6.576,6.696,1.0000
90.0736,10.7630,89.3993,0.0000,0.000,6.574,6.694,1.0000
95.0774,11.3039,94.3739,0.0000,0.000,6.573,6.692,1.0000
100.0813,11.8433,99.3486,0.0000,0.000,6.572,6.689,1.0000
105.0852,12.3814,104.3234,0.0000,0.000,6.570,6.687,1.0000
110.0891,12.9183,109.2985,0.0000,0.000,6.569,6.685,1.0000
115.0930,13.4538,114.2736,0.0000,0.000,6.568,6.682,1.0000
120.0969,13.9882,119.2489,0.0000,0.000,6.567,6.680,1.0000
125.1009,14.5215,124.2244,0.0000,0.000,6.565,6.677,1.0000
130.1048,15.0536,129.2000,0.0000,0.000,6.564,6.675,1.0000
135.1088,15.5847,134.1757,0.0000,0.000,6.563,6.673,1.0000
140.1128,16.1148,139.1515,0.0000,0.000,6.571,6.699,1.0000
145.1168,16.6440,144.1274,0.0000,0.000,6.585,6.739,1.0000
150.1208,17.1722,149.1035,0.0000,0.000,6.598,6.780,1.0000
155.1248,17.6996,154.0797,0.0000,0.000,6.612,6.820,1.0000
160.1289,18.2262,159.0560,0.0000,0.000,6.625,6.861,1.0000
165.1330,18.7521,164.0323,0.0000,0.000,6.638,6.901,1.0000
170.1371,19.2772,169.0088,0.0000,0.000,6.652,6.942,1.0000
175.1412,19.8017,173.9854,0.0000,0.000,6.665,6.982,1.0000
180.1454,20.3256,178.9620,0.0000,0.000,6.679,7.022,1.0000
185.1495,20.8490,183.9387,0.0000,0.000,6.692,7.063,1.0000
190.1537,21.3718,188.9155,0.0000,0.000,6.706,7.103,1.0000
195.1579,21.8942,193.8924,0.0000,0.000,6.719,7.144,1.0000
200.1621,22.4162,198.8693,0.0000,0.000,6.732,7.184,1.0000
205.1664,22.9378,203.8463,0.0000,0.000,6.746,7.225,1.0000
210.1707,23.4591,208.8234,0.0000,0.000,6.759,7.265,1.0000
215.1750,23.9801,213.8005,0.0000,0.000,6.773,7.306,1.0000
220.1793,24.5010,218.7776,0.0000,0.000,6.786,7.346,1.0000
