# Norisring — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-1.1963,-0.6601,0.0000,0.000,7.291,7.520,1.0000
4.9988,3.0520,-3.2944,0.0000,0.000,7.269,7.534,1.0000
9.9975,7.2973,-5.9336,0.0000,0.000,7.246,7.547,1.0000
14.9963,11.5380,-8.5800,0.0000,0.000,7.224,7.561,1.0000
19.9950,15.7727,-11.2360,0.0000,0.000,7.202,7.575,1.0000
24.9936,19.9999,-13.9038,0.0000,0.000,7.179,7.588,1.0000
29.9922,24.2198,-16.5831,0.0000,0.000,7.157,7.602,1.0000
34.9905,28.4391,-19.2627,0.0000,0.000,7.134,7.615,1.0000
39.9881,32.6664,-21.9285,0.0000,0.000,7.112,7.629,1.0000
44.9850,36.9103,-24.5662,0.0000,0.000,7.090,7.642,1.0000
49.9811,41.1793,-27.1618,0.0000,0.000,7.067,7.656,1.0000
54.9773,45.4821,-29.7011,0.0000,0.000,7.045,7.669,1.0000
59.9748,49.8272,-32.1699,0.0000,0.000,7.022,7.683,1.0000
64.9752,54.2199,-34.5591,0.0000,0.000,7.072,7.601,1.0000
69.9763,58.6402,-36.8982,0.0000,0.000,7.230,7.374,1.0000
74.9724,63.0562,-39.2350,0.0000,0.000,7.389,7.147,1.0000
79.9580,67.4358,-41.6172,0.0000,0.000,7.547,6.921,1.0000
84.9288,71.7418,-44.1007,0.0000,0.000,7.705,6.694,1.0000
89.8847,75.9243,-46.7592,0.0000,0.000,7.775,6.575,1.0000
94.8373,79.9318,-49.6692,0.0000,0.000,7.616,6.734,1.0000
99.8141,83.7192,-52.8977,0.0000,0.000,7.457,6.893,1.0000
104.8292,87.3470,-56.3605,0.0000,0.000,7.298,7.052,1.0000
109.8533,90.9608,-59.8507,0.0000,0.000,7.139,7.211,1.0000
114.8517,94.7086,-63.1580,0.0000,0.000,6.980,7.370,1.0000
119.8258,98.7025,-66.1229,0.0000,0.000,6.906,7.444,1.0000
124.8066,102.9014,-68.8020,0.0000,0.000,6.925,7.425,1.0000
129.8034,107.2238,-71.3090,0.0000,0.000,6.943,7.407,1.0000
134.8079,111.5887,-73.7569,0.0000,0.000,6.961,7.389,1.0000
139.8114,115.9484,-76.2122,0.0000,0.000,6.979,7.371,1.0000
144.8135,120.3003,-78.6784,0.0000,0.000,6.998,7.352,1.0000
149.8145,124.6454,-81.1543,0.0000,0.000,7.016,7.334,1.0000
154.8144,128.9843,-83.6389,0.0000,0.000,7.034,7.316,1.0000
159.8135,133.3179,-86.1310,0.0000,0.000,7.052,7.298,1.0000
164.8118,137.6469,-88.6296,0.0000,0.000,7.071,7.279,1.0000
169.8096,141.9722,-91.1334,0.0000,0.000,7.089,7.261,1.0000
174.8068,146.2946,-93.6413,0.0000,0.000,7.107,7.243,1.0000
179.8038,150.6148,-96.1523,0.0000,0.000,7.125,7.225,1.0000
184.8005,154.9337,-98.6652,0.0000,0.000,7.143,7.207,1.0000
189.7971,159.2520,-101.1789,0.0000,0.000,7.162,7.188,1.0000
194.7938,163.5705,-103.6923,0.0000,0.000,7.180,7.170,1.0000
199.7907,167.8901,-106.2042,0.0000,0.000,7.198,7.152,1.0000
204.7878,172.2115,-108.7136,0.0000,0.000,7.216,7.134,1.0000
209.7853,176.5353,-111.2194,0.0000,0.000,7.235,7.115,1.0000
214.7832,180.8615,-113.7221,0.0000,0.000,7.253,7.097,1.0000
219.7814,185.1896,-116.2219,0.0000,0.000,7.271,7.079,1.0000
