# Nürburgring GP — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,1.2427,-1.2931,0.0000,0.000,7.487,7.288,1.0000
5.0018,-2.3685,-4.7540,0.0000,0.000,7.469,7.307,1.0000
10.0036,-5.9793,-8.2152,0.0000,0.000,7.426,7.342,1.0000
15.0054,-9.5896,-11.6770,0.0000,0.000,7.383,7.377,1.0000
20.0072,-13.1994,-15.1392,0.0000,0.000,7.340,7.411,1.0000
25.0090,-16.8088,-18.6020,0.0000,0.000,7.297,7.446,1.0000
30.0108,-20.4176,-22.0653,0.0000,0.000,7.254,7.481,1.0000
35.0127,-24.0259,-25.5291,0.0000,0.000,7.212,7.515,1.0000
40.0145,-27.6337,-28.9936,0.0000,0.000,7.169,7.550,1.0000
45.0163,-31.2408,-32.4586,0.0000,0.000,7.126,7.585,1.0000
50.0182,-34.8474,-35.9243,0.0000,0.000,7.149,7.575,1.0000
55.0200,-38.4533,-39.3907,0.0000,0.000,7.175,7.563,1.0000
60.0219,-42.0586,-42.8578,0.0000,0.000,7.201,7.551,1.0000
65.0238,-45.6633,-46.3256,0.0000,0.000,7.228,7.539,1.0000
70.0257,-49.2672,-49.7941,0.0000,0.000,7.254,7.527,1.0000
75.0276,-52.8705,-53.2634,0.0000,0.000,7.280,7.515,1.0000
80.0296,-56.4730,-56.7335,0.0000,0.000,7.307,7.503,1.0000
85.0316,-60.0748,-60.2044,0.0000,0.000,7.333,7.491,1.0000
90.0336,-63.6758,-63.6762,0.0000,0.000,7.359,7.479,1.0000
95.0357,-67.2760,-67.1488,0.0000,0.000,7.386,7.467,1.0000
100.0378,-70.8754,-70.6223,0.0000,0.000,7.412,7.455,1.0000
105.0399,-74.4739,-74.0968,0.0000,0.000,7.438,7.443,1.0000
110.0421,-78.0716,-77.5722,0.0000,0.000,7.465,7.431,1.0000
115.0443,-81.6684,-81.0485,0.0000,0.000,7.491,7.418,1.0000
120.0466,-85.2644,-84.5259,0.0000,0.000,7.517,7.406,1.0000
125.0489,-88.8594,-88.0043,0.0000,0.000,7.544,7.394,1.0000
130.0513,-92.4534,-91.4837,0.0000,0.000,7.570,7.382,1.0000
135.0537,-96.0465,-94.9642,0.0000,0.000,7.596,7.370,1.0000
140.0562,-99.6386,-98.4458,0.0000,0.000,7.622,7.358,1.0000
145.0588,-103.2297,-101.9286,0.0000,0.000,7.649,7.346,1.0000
150.0613,-106.8200,-105.4122,0.0000,0.000,7.675,7.334,1.0000
155.0639,-110.4109,-108.8951,0.0000,0.000,7.701,7.322,1.0000
160.0664,-114.0041,-112.3757,0.0000,0.000,7.728,7.310,1.0000
