# Motorsport Arena Oschersleben — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,2.2701,-1.0152,0.0000,0.000,7.083,7.044,1.0000
4.9997,-2.5290,0.3869,0.0000,0.000,7.102,7.061,1.0000
9.9995,-7.3281,1.7893,0.0000,0.000,7.121,7.078,1.0000
14.9993,-12.1271,3.1919,0.0000,0.000,7.088,7.041,1.0000
19.9992,-16.9262,4.5946,0.0000,0.000,6.945,6.890,1.0000
24.9991,-21.7252,5.9975,0.0000,0.000,6.802,6.740,1.0000
29.9990,-26.5242,7.4006,0.0000,0.000,6.659,6.589,1.0000
34.9990,-31.3233,8.8039,0.0000,0.000,6.516,6.438,1.0000
39.9990,-36.1223,10.2074,0.0000,0.000,6.373,6.287,1.0000
44.9991,-40.9213,11.6111,0.0000,0.000,6.229,6.136,1.0000
49.9993,-45.7203,13.0149,0.0000,0.000,6.086,5.985,1.0000
54.9994,-50.5194,14.4190,0.0000,0.000,6.073,5.983,1.0000
59.9997,-55.3184,15.8232,0.0000,0.000,6.066,5.989,1.0000
65.0000,-60.1174,17.2276,0.0000,0.000,6.060,5.995,1.0000
70.0004,-64.9165,18.6321,0.0000,0.000,6.054,6.001,1.0000
75.0008,-69.7156,20.0369,0.0000,0.000,6.047,6.007,1.0000
80.0013,-74.5146,21.4418,0.0000,0.000,6.041,6.013,1.0000
85.0019,-79.3137,22.8469,0.0000,0.000,6.034,6.019,1.0000
90.0025,-84.1129,24.2521,0.0000,0.000,6.028,6.025,1.0000
95.0032,-88.9120,25.6575,0.0000,0.000,6.022,6.031,1.0000
100.0040,-93.7112,27.0631,0.0000,0.000,6.015,6.037,1.0000
105.0049,-98.5104,28.4689,0.0000,0.000,6.009,6.043,1.0000
110.0058,-103.3097,29.8748,0.0000,0.000,6.003,6.049,1.0000
115.0068,-108.1089,31.2809,0.0000,0.000,5.996,6.055,1.0000
120.0079,-112.9083,32.6871,0.0000,0.000,5.990,6.061,1.0000
125.0091,-117.7076,34.0935,0.0000,0.000,5.984,6.067,1.0000
130.0104,-122.5070,35.5001,0.0000,0.000,5.977,6.073,1.0000
135.0117,-127.3065,36.9068,0.0000,0.000,5.971,6.079,1.0000
140.0132,-132.1060,38.3137,0.0000,0.000,5.965,6.085,1.0000
145.0147,-136.9055,39.7208,0.0000,0.000,5.958,6.091,1.0000
150.0163,-141.7051,41.1280,0.0000,0.000,5.952,6.097,1.0000
155.0181,-146.5047,42.5353,0.0000,0.000,5.945,6.103,1.0000
160.0199,-151.3045,43.9428,0.0000,0.000,5.939,6.109,1.0000
165.0218,-156.1042,45.3505,0.0000,0.000,5.933,6.115,1.0000
170.0238,-160.9041,46.7583,0.0000,0.000,5.926,6.121,1.0000
175.0260,-165.7040,48.1662,0.0000,0.000,5.920,6.127,1.0000
180.0282,-170.5039,49.5743,0.0000,0.000,5.914,6.133,1.0000
185.0306,-175.3040,50.9825,0.0000,0.000,5.907,6.139,1.0000
190.0330,-180.1041,52.3909,0.0000,0.000,5.901,6.145,1.0000
195.0356,-184.9042,53.7994,0.0000,0.000,5.895,6.151,1.0000
200.0383,-189.7045,55.2081,0.0000,0.000,5.888,6.157,1.0000
205.0411,-194.5049,56.6169,0.0000,0.000,5.882,6.163,1.0000
210.0440,-199.3053,58.0258,0.0000,0.000,5.875,6.169,1.0000
215.0470,-204.1058,59.4349,0.0000,0.000,5.869,6.175,1.0000
220.0501,-208.9063,60.8441,0.0000,0.000,5.863,6.181,1.0000
225.0532,-213.7068,62.2534,0.0000,0.000,5.856,6.187,1.0000
230.0561,-218.5070,63.6628,0.0000,0.000,5.850,6.193,1.0000
235.0586,-223.3069,65.0723,0.0000,0.000,5.844,6.199,1.0000
240.0608,-228.1064,66.4818,0.0000,0.000,5.837,6.205,1.0000
245.0624,-232.9053,67.8914,0.0000,0.000,5.831,6.211,1.0000
250.0634,-237.7035,69.3011,0.0000,0.000,5.825,6.217,1.0000
255.0636,-242.5008,70.7107,0.0000,0.000,5.818,6.223,1.0000
260.0629,-247.2973,72.1203,0.0000,0.000,5.812,6.229,1.0000
265.0612,-252.0927,73.5299,0.0000,0.000,5.806,6.235,1.0000
270.0583,-256.8869,74.9395,0.0000,0.000,5.799,6.241,1.0000
275.0542,-261.6798,76.3490,0.0000,0.000,5.793,6.247,1.0000
280.0487,-266.4714,77.7585,0.0000,0.000,5.786,6.253,1.0000
285.0417,-271.2614,79.1678,0.0000,0.000,5.780,6.259,1.0000
290.0331,-276.0497,80.5771,0.0000,0.000,5.774,6.265,1.0000
295.0228,-280.8362,81.9862,0.0000,0.000,5.767,6.271,1.0000
300.0106,-285.6209,83.3952,0.0000,0.000,5.761,6.277,1.0000
304.9964,-290.4035,84.8040,0.0000,0.000,5.755,6.283,1.0000
309.9802,-295.1840,86.2127,0.0000,0.000,5.748,6.289,1.0000
314.9617,-299.9623,87.6212,0.0000,0.000,5.742,6.295,1.0000
319.9409,-304.7382,89.0295,0.0000,0.000,5.736,6.301,1.0000
324.9176,-309.5116,90.4375,0.0000,0.000,5.729,6.307,1.0000
329.8918,-314.2824,91.8454,0.0000,0.000,5.723,6.313,1.0000
334.8668,-319.0541,93.2526,0.0000,0.000,5.717,6.319,1.0000
339.8521,-323.8372,94.6584,0.0000,0.000,5.710,6.325,1.0000
344.8581,-328.6425,96.0617,0.0000,0.000,5.704,6.331,1.0000
349.8952,-333.4811,97.4616,0.0000,0.000,5.697,6.337,1.0000
354.9735,-338.3640,98.8571,0.0000,0.000,5.691,6.343,1.0000
360.1032,-343.3019,100.2467,0.0000,0.000,5.685,6.349,1.0000
365.2646,-348.2880,101.5803,0.0000,0.000,5.678,6.355,1.0000
370.3877,-353.2831,102.7183,0.0000,0.000,5.693,6.214,1.0000
375.4120,-358.2444,103.5117,0.0000,0.000,5.738,5.870,1.0000
380.3059,-363.1291,103.8113,0.0000,0.000,5.760,5.569,1.0000
385.0836,-367.8944,103.4681,0.0000,0.000,5.662,5.496,1.0000
389.8242,-372.5008,102.3484,0.0000,0.000,5.131,5.916,1.0000
394.6393,-376.9442,100.4932,0.0000,0.000,5.261,5.806,1.0000
399.5818,-381.2431,98.0542,0.0000,0.000,5.287,5.852,1.0000
404.6462,-385.4161,95.1847,0.0000,0.000,5.253,6.126,1.0000
409.7876,-389.4821,92.0381,0.0000,0.000,5.811,6.074,1.0000
414.9372,-393.4599,88.7678,0.0000,0.000,6.540,6.393,1.0000
420.0197,-397.3703,85.5210,0.0000,0.000,7.273,6.753,1.0000
425.0167,-401.2551,82.3781,0.0000,0.000,7.995,7.268,1.0000
429.9487,-405.1696,79.3778,0.0000,0.000,8.436,7.680,1.0000
434.8422,-409.1692,76.5585,0.0000,0.000,8.400,7.916,1.0000
439.7312,-413.3093,73.9582,0.0000,0.000,8.270,8.064,1.0000
444.6598,-417.6454,71.6151,0.0000,0.000,7.940,8.026,1.0000
449.6618,-422.2099,69.5692,0.0000,0.000,7.610,7.988,1.0000
454.7116,-426.9640,67.8664,0.0000,0.000,7.281,7.307,1.0000
459.7756,-431.8548,66.5536,0.0000,0.000,7.029,6.733,1.0000
464.8267,-436.8294,65.6777,0.0000,0.000,6.904,6.505,1.0000
469.8476,-441.8350,65.2858,0.0000,0.000,6.728,6.203,1.0000
474.8332,-446.8187,65.4246,0.0000,0.000,6.539,5.881,1.0000
479.7947,-451.7306,66.1238,0.0000,0.000,5.947,5.711,1.0000
484.7508,-456.5305,67.3581,0.0000,0.000,5.382,5.527,1.0000
489.7128,-461.1798,69.0920,0.0000,0.000,5.432,5.047,1.0000
494.6849,-465.6398,71.2897,0.0000,0.000,5.449,4.634,1.0000
499.6657,-469.8721,73.9157,0.0000,0.000,5.131,4.918,1.0000
504.6502,-473.8386,76.9343,0.0000,0.000,4.813,5.202,1.0000
509.6385,-477.5116,80.3095,0.0000,0.000,5.060,4.920,1.0000
514.6351,-480.8744,84.0051,0.0000,0.000,5.345,4.599,1.0000
519.6408,-483.9107,87.9848,0.0000,0.000,5.313,4.560,1.0000
524.6535,-486.6043,92.2123,0.0000,0.000,5.139,4.647,1.0000
529.6690,-488.9389,96.6513,0.0000,0.000,5.001,4.762,1.0000
534.6820,-490.8983,101.2656,0.0000,0.000,4.970,4.960,1.0000
539.6872,-492.4661,106.0189,0.0000,0.000,5.036,4.996,1.0000
544.6798,-493.6262,110.8748,0.0000,0.000,5.245,4.789,1.0000
549.6569,-494.3623,115.7971,0.0000,0.000,5.161,4.777,1.0000
554.6182,-494.6581,120.7496,0.0000,0.000,5.051,4.782,1.0000
559.5671,-494.4973,125.6960,0.0000,0.000,5.029,4.817,1.0000
564.5120,-493.8679,130.6006,0.0000,0.000,5.045,4.799,1.0000
569.4646,-492.7801,135.4322,0.0000,0.000,5.107,4.705,1.0000
