# Bahrain International Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-1.4392,-1.5631,0.0000,0.000,6.117,5.989,1.0000
5.0005,-1.2115,3.4322,0.0000,0.000,6.122,5.997,1.0000
10.0010,-0.9840,8.4275,0.0000,0.000,6.127,6.005,1.0000
15.0016,-0.7566,13.4229,0.0000,0.000,6.132,6.013,1.0000
20.0021,-0.5293,18.4183,0.0000,0.000,6.137,6.021,1.0000
25.0026,-0.3021,23.4136,0.0000,0.000,6.142,6.029,1.0000
30.0032,-0.0751,28.4090,0.0000,0.000,6.147,6.037,1.0000
35.0037,0.1519,33.4044,0.0000,0.000,6.152,6.045,1.0000
40.0042,0.3787,38.3998,0.0000,0.000,6.157,6.053,1.0000
45.0048,0.6054,43.3952,0.0000,0.000,6.162,6.061,1.0000
50.0053,0.8320,48.3906,0.0000,0.000,6.167,6.069,1.0000
55.0058,1.0585,53.3860,0.0000,0.000,6.172,6.077,1.0000
60.0064,1.2849,58.3814,0.0000,0.000,6.177,6.085,1.0000
65.0069,1.5113,63.3768,0.0000,0.000,6.182,6.093,1.0000
70.0074,1.7375,68.3722,0.0000,0.000,6.187,6.101,1.0000
75.0080,1.9637,73.3676,0.0000,0.000,6.192,6.109,1.0000
80.0085,2.1898,78.3630,0.0000,0.000,6.197,6.118,1.0000
85.0091,2.4159,83.3585,0.0000,0.000,6.202,6.126,1.0000
90.0096,2.6418,88.3539,0.0000,0.000,6.207,6.134,1.0000
95.0101,2.8678,93.3493,0.0000,0.000,6.212,6.142,1.0000
100.0107,3.0936,98.3448,0.0000,0.000,6.217,6.150,1.0000
105.0112,3.3195,103.3402,0.0000,0.000,6.222,6.158,1.0000
110.0117,3.5453,108.3356,0.0000,0.000,6.227,6.166,1.0000
115.0123,3.7710,113.3311,0.0000,0.000,6.232,6.174,1.0000
120.0128,3.9967,118.3265,0.0000,0.000,6.237,6.182,1.0000
125.0133,4.2224,123.3219,0.0000,0.000,6.242,6.190,1.0000
130.0138,4.4480,128.3174,0.0000,0.000,6.247,6.198,1.0000
135.0144,4.6736,133.3128,0.0000,0.000,6.252,6.206,1.0000
140.0149,4.8992,138.3082,0.0000,0.000,6.257,6.214,1.0000
145.0154,5.1248,143.3036,0.0000,0.000,6.262,6.222,1.0000
150.0159,5.3503,148.2991,0.0000,0.000,6.267,6.230,1.0000
155.0165,5.5759,153.2945,0.0000,0.000,6.272,6.238,1.0000
160.0170,5.8014,158.2899,0.0000,0.000,6.277,6.246,1.0000
165.0175,6.0269,163.2854,0.0000,0.000,6.282,6.254,1.0000
170.0180,6.2524,168.2808,0.0000,0.000,6.287,6.262,1.0000
175.0185,6.4779,173.2762,0.0000,0.000,6.292,6.270,1.0000
180.0190,6.7034,178.2716,0.0000,0.000,6.297,6.278,1.0000
185.0195,6.9290,183.2671,0.0000,0.000,6.302,6.286,1.0000
190.0201,7.1545,188.2625,0.0000,0.000,6.307,6.294,1.0000
195.0206,7.3800,193.2579,0.0000,0.000,6.312,6.302,1.0000
200.0211,7.6056,198.2533,0.0000,0.000,6.317,6.310,1.0000
205.0216,7.8311,203.2488,0.0000,0.000,6.322,6.318,1.0000
210.0221,8.0567,208.2442,0.0000,0.000,6.327,6.326,1.0000
215.0226,8.2824,213.2396,0.0000,0.000,6.332,6.334,1.0000
220.0231,8.5080,218.2350,0.0000,0.000,6.337,6.342,1.0000
225.0236,8.7337,223.2304,0.0000,0.000,6.342,6.350,1.0000
230.0241,8.9594,228.2258,0.0000,0.000,6.347,6.358,1.0000
235.0246,9.1852,233.2212,0.0000,0.000,6.352,6.366,1.0000
240.0251,9.4109,238.2166,0.0000,0.000,6.357,6.374,1.0000
245.0256,9.6368,243.2120,0.0000,0.000,6.362,6.382,1.0000
250.0261,9.8627,248.2074,0.0000,0.000,6.367,6.390,1.0000
255.0266,10.0886,253.2028,0.0000,0.000,6.372,6.398,1.0000
260.0271,10.3146,258.1982,0.0000,0.000,6.377,6.406,1.0000
265.0276,10.5407,263.1936,0.0000,0.000,6.382,6.414,1.0000
270.0281,10.7668,268.1890,0.0000,0.000,6.387,6.422,1.0000
275.0286,10.9930,273.1843,0.0000,0.000,6.392,6.430,1.0000
280.0291,11.2192,278.1797,0.0000,0.000,6.397,6.438,1.0000
285.0296,11.4455,283.1751,0.0000,0.000,6.402,6.446,1.0000
290.0301,11.6719,288.1704,0.0000,0.000,6.407,6.454,1.0000
295.0306,11.8984,293.1658,0.0000,0.000,6.412,6.462,1.0000
300.0311,12.1250,298.1612,0.0000,0.000,6.417,6.470,1.0000
305.0316,12.3516,303.1565,0.0000,0.000,6.422,6.478,1.0000
310.0320,12.5784,308.1519,0.0000,0.000,6.427,6.486,1.0000
315.0325,12.8052,313.1472,0.0000,0.000,6.432,6.494,1.0000
320.0330,13.0321,318.1425,0.0000,0.000,6.437,6.502,1.0000
325.0335,13.2591,323.1379,0.0000,0.000,6.442,6.510,1.0000
330.0340,13.4862,328.1332,0.0000,0.000,6.447,6.518,1.0000
335.0345,13.7135,333.1285,0.0000,0.000,6.452,6.526,1.0000
340.0350,13.9408,338.1238,0.0000,0.000,6.457,6.534,1.0000
345.0355,14.1683,343.1191,0.0000,0.000,6.462,6.542,1.0000
350.0359,14.3958,348.1145,0.0000,0.000,6.467,6.550,1.0000
355.0364,14.6235,353.1098,0.0000,0.000,6.472,6.559,1.0000
360.0369,14.8513,358.1050,0.0000,0.000,6.477,6.567,1.0000
365.0374,15.0792,363.1003,0.0000,0.000,6.482,6.575,1.0000
370.0379,15.3073,368.0956,0.0000,0.000,6.487,6.583,1.0000
375.0384,15.5355,373.0909,0.0000,0.000,6.492,6.591,1.0000
380.0388,15.7638,378.0861,0.0000,0.000,6.497,6.599,1.0000
385.0393,15.9923,383.0814,0.0000,0.000,6.502,6.607,1.0000
390.0398,16.2209,388.0767,0.0000,0.000,6.507,6.615,1.0000
395.0403,16.4496,393.0719,0.0000,0.000,6.512,6.623,1.0000
400.0408,16.6785,398.0672,0.0000,0.000,6.517,6.631,1.0000
405.0413,16.9076,403.0624,0.0000,0.000,6.522,6.639,1.0000
410.0417,17.1368,408.0576,0.0000,0.000,6.527,6.647,1.0000
415.0422,17.3662,413.0528,0.0000,0.000,6.532,6.655,1.0000
420.0427,17.5957,418.0480,0.0000,0.000,6.537,6.663,1.0000
425.0432,17.8254,423.0432,0.0000,0.000,6.542,6.671,1.0000
430.0437,18.0552,428.0384,0.0000,0.000,6.547,6.679,1.0000
435.0441,18.2853,433.0336,0.0000,0.000,6.552,6.687,1.0000
440.0446,18.5154,438.0288,0.0000,0.000,6.557,6.695,1.0000
445.0451,18.7456,443.0240,0.0000,0.000,6.562,6.703,1.0000
450.0456,18.9757,448.0192,0.0000,0.000,6.567,6.711,1.0000
455.0461,19.2057,453.0143,0.0000,0.000,6.572,6.719,1.0000
460.0465,19.4355,458.0095,0.0000,0.000,6.577,6.727,1.0000
465.0470,19.6651,463.0048,0.0000,0.000,6.582,6.735,1.0000
470.0475,19.8944,468.0000,0.0000,0.000,6.587,6.743,1.0000
475.0480,20.1232,472.9952,0.0000,0.000,6.593,6.751,1.0000
480.0485,20.3516,477.9905,0.0000,0.000,6.598,6.759,1.0000
485.0490,20.5795,482.9858,0.0000,0.000,6.603,6.767,1.0000
490.0495,20.8067,487.9811,0.0000,0.000,6.608,6.775,1.0000
495.0499,21.0332,492.9765,0.0000,0.000,6.613,6.783,1.0000
500.0504,21.2590,497.9719,0.0000,0.000,6.618,6.791,1.0000
505.0509,21.4840,502.9673,0.0000,0.000,6.623,6.799,1.0000
510.0514,21.7080,507.9628,0.0000,0.000,6.628,6.807,1.0000
515.0519,21.9311,512.9583,0.0000,0.000,6.633,6.815,1.0000
520.0524,22.1531,517.9539,0.0000,0.000,6.638,6.823,1.0000
525.0529,22.3740,522.9495,0.0000,0.000,6.643,6.831,1.0000
