# Autódromo José Carlos Pace (Interlagos) — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-0.5188,-0.5198,0.0000,0.000,7.513,7.241,1.0000
4.9975,0.7553,-5.3521,0.0000,0.000,7.327,7.156,1.0000
9.9948,2.0187,-10.1871,0.0000,0.000,7.137,7.070,1.0000
14.9918,3.2704,-15.0248,0.0000,0.000,6.948,6.984,1.0000
19.9886,4.5097,-19.8655,0.0000,0.000,6.759,6.898,1.0000
24.9853,5.7359,-24.7093,0.0000,0.000,6.570,6.812,1.0000
29.9818,6.9523,-29.5555,0.0000,0.000,6.382,6.726,1.0000
34.9782,8.1651,-34.4025,0.0000,0.000,6.516,6.860,1.0000
39.9746,9.3803,-39.2489,0.0000,0.000,6.617,6.959,1.0000
44.9711,10.6041,-44.0932,0.0000,0.000,6.606,6.945,1.0000
49.9678,11.8428,-48.9339,0.0000,0.000,6.596,6.931,1.0000
54.9648,13.1025,-53.7695,0.0000,0.000,6.586,6.918,1.0000
59.9624,14.3884,-58.5989,0.0000,0.000,6.576,6.904,1.0000
64.9606,15.6983,-63.4224,0.0000,0.000,6.566,6.890,1.0000
69.9594,17.0269,-68.2414,0.0000,0.000,6.556,6.877,1.0000
74.9585,18.3687,-73.0570,0.0000,0.000,6.546,6.863,1.0000
79.9579,19.7185,-77.8707,0.0000,0.000,6.535,6.849,1.0000
84.9572,21.0709,-82.6836,0.0000,0.000,6.525,6.835,1.0000
89.9562,22.4204,-87.4970,0.0000,0.000,6.515,6.822,1.0000
94.9548,23.7629,-92.3120,0.0000,0.000,6.505,6.808,1.0000
99.9529,25.0981,-97.1285,0.0000,0.000,6.495,6.794,1.0000
104.9508,26.4268,-101.9465,0.0000,0.000,6.485,6.781,1.0000
109.9483,27.7500,-106.7657,0.0000,0.000,6.475,6.767,1.0000
114.9457,29.0683,-111.5860,0.0000,0.000,6.464,6.753,1.0000
119.9429,30.3827,-116.4072,0.0000,0.000,6.454,6.740,1.0000
124.9400,31.6939,-121.2292,0.0000,0.000,6.444,6.726,1.0000
129.9370,33.0029,-126.0518,0.0000,0.000,6.434,6.712,1.0000
134.9341,34.3104,-130.8748,0.0000,0.000,6.424,6.698,1.0000
139.9313,35.6173,-135.6981,0.0000,0.000,6.414,6.685,1.0000
144.9287,36.9244,-140.5215,0.0000,0.000,6.404,6.671,1.0000
149.9262,38.2325,-145.3448,0.0000,0.000,6.393,6.657,1.0000
154.9240,39.5425,-150.1678,0.0000,0.000,6.383,6.644,1.0000
159.9221,40.8551,-154.9905,0.0000,0.000,6.373,6.630,1.0000
164.9204,42.1703,-159.8127,0.0000,0.000,6.363,6.616,1.0000
169.9190,43.4878,-164.6345,0.0000,0.000,6.353,6.602,1.0000
174.9177,44.8073,-169.4559,0.0000,0.000,6.343,6.589,1.0000
179.9164,46.1284,-174.2769,0.0000,0.000,6.333,6.575,1.0000
184.9151,47.4510,-179.0974,0.0000,0.000,6.322,6.561,1.0000
189.9137,48.7746,-183.9176,0.0000,0.000,6.312,6.548,1.0000
194.9122,50.0989,-188.7374,0.0000,0.000,6.302,6.534,1.0000
199.9104,51.4237,-193.5569,0.0000,0.000,6.292,6.520,1.0000
204.9083,52.7487,-198.3759,0.0000,0.000,6.282,6.507,1.0000
209.9057,54.0734,-203.1946,0.0000,0.000,6.272,6.493,1.0000
214.9028,55.3976,-208.0130,0.0000,0.000,6.262,6.479,1.0000
219.8993,56.7211,-212.8311,0.0000,0.000,6.251,6.465,1.0000
224.8952,58.0434,-217.6488,0.0000,0.000,6.241,6.452,1.0000
229.8905,59.3642,-222.4664,0.0000,0.000,6.231,6.438,1.0000
