# Sepang International Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,1.2238,-3.4569,0.0000,0.000,7.143,7.128,1.0000
5.0017,-3.7599,-3.8799,0.0000,0.000,7.149,7.137,1.0000
10.0033,-8.7437,-4.3024,0.0000,0.000,7.158,7.143,1.0000
15.0050,-13.7276,-4.7245,0.0000,0.000,7.167,7.149,1.0000
20.0067,-18.7114,-5.1460,0.0000,0.000,7.176,7.156,1.0000
25.0083,-23.6953,-5.5671,0.0000,0.000,7.185,7.162,1.0000
30.0100,-28.6793,-5.9878,0.0000,0.000,7.193,7.169,1.0000
35.0117,-33.6633,-6.4081,0.0000,0.000,7.202,7.175,1.0000
40.0133,-38.6473,-6.8279,0.0000,0.000,7.211,7.181,1.0000
45.0150,-43.6313,-7.2474,0.0000,0.000,7.220,7.188,1.0000
50.0166,-48.6154,-7.6664,0.0000,0.000,7.229,7.194,1.0000
55.0183,-53.5995,-8.0851,0.0000,0.000,7.238,7.201,1.0000
60.0199,-58.5836,-8.5035,0.0000,0.000,7.247,7.207,1.0000
65.0216,-63.5677,-8.9215,0.0000,0.000,7.256,7.214,1.0000
70.0232,-68.5519,-9.3392,0.0000,0.000,7.265,7.220,1.0000
75.0248,-73.5361,-9.7566,0.0000,0.000,7.274,7.226,1.0000
80.0265,-78.5203,-10.1738,0.0000,0.000,7.283,7.233,1.0000
85.0281,-83.5045,-10.5906,0.0000,0.000,7.292,7.239,1.0000
90.0297,-88.4888,-11.0072,0.0000,0.000,7.300,7.246,1.0000
95.0314,-93.4730,-11.4235,0.0000,0.000,7.309,7.252,1.0000
100.0330,-98.4573,-11.8396,0.0000,0.000,7.318,7.259,1.0000
105.0346,-103.4416,-12.2555,0.0000,0.000,7.327,7.265,1.0000
110.0362,-108.4259,-12.6712,0.0000,0.000,7.336,7.271,1.0000
115.0378,-113.4102,-13.0867,0.0000,0.000,7.345,7.278,1.0000
120.0394,-118.3945,-13.5020,0.0000,0.000,7.354,7.284,1.0000
125.0410,-123.3789,-13.9171,0.0000,0.000,7.363,7.291,1.0000
130.0425,-128.3632,-14.3321,0.0000,0.000,7.372,7.297,1.0000
135.0441,-133.3475,-14.7470,0.0000,0.000,7.381,7.304,1.0000
140.0457,-138.3319,-15.1618,0.0000,0.000,7.390,7.310,1.0000
145.0473,-143.3162,-15.5764,0.0000,0.000,7.399,7.316,1.0000
150.0488,-148.3006,-15.9910,0.0000,0.000,7.407,7.323,1.0000
155.0504,-153.2849,-16.4055,0.0000,0.000,7.416,7.329,1.0000
160.0519,-158.2692,-16.8200,0.0000,0.000,7.425,7.336,1.0000
165.0534,-163.2536,-17.2344,0.0000,0.000,7.434,7.342,1.0000
170.0550,-168.2379,-17.6488,0.0000,0.000,7.443,7.349,1.0000
175.0565,-173.2222,-18.0631,0.0000,0.000,7.452,7.355,1.0000
180.0580,-178.2066,-18.4775,0.0000,0.000,7.461,7.361,1.0000
185.0595,-183.1909,-18.8918,0.0000,0.000,7.470,7.368,1.0000
190.0610,-188.1752,-19.3063,0.0000,0.000,7.479,7.374,1.0000
195.0625,-193.1594,-19.7207,0.0000,0.000,7.488,7.381,1.0000
200.0639,-198.1437,-20.1352,0.0000,0.000,7.497,7.387,1.0000
205.0654,-203.1280,-20.5498,0.0000,0.000,7.506,7.393,1.0000
210.0669,-208.1122,-20.9645,0.0000,0.000,7.514,7.400,1.0000
215.0683,-213.0964,-21.3792,0.0000,0.000,7.523,7.406,1.0000
220.0697,-218.0806,-21.7941,0.0000,0.000,7.532,7.413,1.0000
225.0712,-223.0648,-22.2091,0.0000,0.000,7.541,7.419,1.0000
230.0726,-228.0489,-22.6243,0.0000,0.000,7.550,7.426,1.0000
235.0740,-233.0331,-23.0396,0.0000,0.000,7.559,7.432,1.0000
240.0754,-238.0172,-23.4551,0.0000,0.000,7.568,7.438,1.0000
245.0768,-243.0013,-23.8707,0.0000,0.000,7.577,7.445,1.0000
250.0781,-247.9853,-24.2865,0.0000,0.000,7.586,7.451,1.0000
255.0795,-252.9694,-24.7024,0.0000,0.000,7.595,7.458,1.0000
260.0809,-257.9534,-25.1184,0.0000,0.000,7.604,7.464,1.0000
265.0822,-262.9374,-25.5346,0.0000,0.000,7.613,7.471,1.0000
270.0836,-267.9214,-25.9509,0.0000,0.000,7.621,7.477,1.0000
275.0849,-272.9054,-26.3673,0.0000,0.000,7.630,7.483,1.0000
280.0863,-277.8894,-26.7839,0.0000,0.000,7.639,7.490,1.0000
285.0876,-282.8733,-27.2006,0.0000,0.000,7.648,7.496,1.0000
290.0890,-287.8573,-27.6173,0.0000,0.000,7.657,7.503,1.0000
295.0903,-292.8412,-28.0342,0.0000,0.000,7.666,7.509,1.0000
300.0917,-297.8252,-28.4512,0.0000,0.000,7.675,7.516,1.0000
305.0931,-302.8091,-28.8683,0.0000,0.000,7.684,7.522,1.0000
310.0944,-307.7930,-29.2855,0.0000,0.000,7.693,7.528,1.0000
315.0958,-312.7770,-29.7028,0.0000,0.000,7.702,7.535,1.0000
320.0971,-317.7609,-30.1202,0.0000,0.000,7.711,7.541,1.0000
325.0985,-322.7448,-30.5377,0.0000,0.000,7.720,7.548,1.0000
330.0999,-327.7287,-30.9552,0.0000,0.000,7.728,7.554,1.0000
335.1013,-332.7126,-31.3729,0.0000,0.000,7.737,7.560,1.0000
340.1027,-337.6966,-31.7906,0.0000,0.000,7.746,7.567,1.0000
345.1041,-342.6805,-32.2084,0.0000,0.000,7.755,7.573,1.0000
350.1055,-347.6644,-32.6262,0.0000,0.000,7.764,7.580,1.0000
355.1070,-352.6484,-33.0441,0.0000,0.000,7.773,7.586,1.0000
360.1084,-357.6323,-33.4621,0.0000,0.000,7.782,7.593,1.0000
365.1099,-362.6163,-33.8801,0.0000,0.000,7.791,7.599,1.0000
370.1114,-367.6003,-34.2982,0.0000,0.000,7.800,7.605,1.0000
375.1128,-372.5843,-34.7164,0.0000,0.000,7.809,7.612,1.0000
380.1144,-377.5683,-35.1345,0.0000,0.000,7.818,7.618,1.0000
385.1159,-382.5523,-35.5528,0.0000,0.000,7.827,7.625,1.0000
390.1174,-387.5363,-35.9710,0.0000,0.000,7.835,7.631,1.0000
395.1190,-392.5203,-36.3893,0.0000,0.000,7.844,7.638,1.0000
400.1206,-397.5044,-36.8077,0.0000,0.000,7.853,7.644,1.0000
