# Shanghai International Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,0.0572,-0.0247,0.0000,0.000,6.766,6.915,1.0000
4.9997,-4.8352,-1.0552,0.0000,0.000,6.691,6.905,1.0000
9.9995,-9.7274,-2.0865,0.0000,0.000,6.617,6.894,1.0000
14.9992,-14.6193,-3.1191,0.0000,0.000,6.543,6.884,1.0000
19.9990,-19.5109,-4.1535,0.0000,0.000,6.497,6.876,1.0000
24.9987,-24.4020,-5.1901,0.0000,0.000,6.507,6.875,1.0000
29.9985,-29.2925,-6.2296,0.0000,0.000,6.516,6.874,1.0000
34.9982,-34.1823,-7.2723,0.0000,0.000,6.526,6.873,1.0000
39.9979,-39.0713,-8.3187,0.0000,0.000,6.536,6.872,1.0000
44.9975,-43.9593,-9.3693,0.0000,0.000,6.545,6.871,1.0000
49.9971,-48.8464,-10.4239,0.0000,0.000,6.555,6.869,1.0000
54.9967,-53.7327,-11.4822,0.0000,0.000,6.564,6.868,1.0000
59.9963,-58.6182,-12.5440,0.0000,0.000,6.574,6.867,1.0000
64.9958,-63.5030,-13.6090,0.0000,0.000,6.584,6.866,1.0000
69.9953,-68.3871,-14.6771,0.0000,0.000,6.593,6.865,1.0000
74.9948,-73.2705,-15.7480,0.0000,0.000,6.603,6.863,1.0000
79.9943,-78.1534,-16.8214,0.0000,0.000,6.612,6.862,1.0000
84.9938,-83.0358,-17.8971,0.0000,0.000,6.622,6.861,1.0000
89.9933,-87.9177,-18.9748,0.0000,0.000,6.631,6.860,1.0000
94.9927,-92.7993,-20.0544,0.0000,0.000,6.641,6.859,1.0000
99.9922,-97.6804,-21.1355,0.0000,0.000,6.651,6.857,1.0000
104.9917,-102.5613,-22.2179,0.0000,0.000,6.660,6.856,1.0000
109.9911,-107.4419,-23.3014,0.0000,0.000,6.670,6.855,1.0000
114.9906,-112.3224,-24.3858,0.0000,0.000,6.679,6.854,1.0000
119.9900,-117.2027,-25.4707,0.0000,0.000,6.689,6.853,1.0000
124.9894,-122.0829,-26.5560,0.0000,0.000,6.698,6.851,1.0000
129.9889,-126.9631,-27.6414,0.0000,0.000,6.708,6.850,1.0000
134.9883,-131.8433,-28.7266,0.0000,0.000,6.718,6.849,1.0000
139.9878,-136.7236,-29.8115,0.0000,0.000,6.727,6.848,1.0000
144.9872,-141.6041,-30.8957,0.0000,0.000,6.737,6.847,1.0000
149.9866,-146.4847,-31.9791,0.0000,0.000,6.746,6.846,1.0000
154.9861,-151.3656,-33.0614,0.0000,0.000,6.756,6.844,1.0000
159.9855,-156.2468,-34.1423,0.0000,0.000,6.765,6.843,1.0000
164.9849,-161.1283,-35.2216,0.0000,0.000,6.775,6.842,1.0000
169.9844,-166.0103,-36.2991,0.0000,0.000,6.785,6.841,1.0000
174.9838,-170.8927,-37.3745,0.0000,0.000,6.794,6.840,1.0000
179.9833,-175.7756,-38.4476,0.0000,0.000,6.804,6.838,1.0000
184.9827,-180.6591,-39.5181,0.0000,0.000,6.813,6.837,1.0000
189.9822,-185.5432,-40.5858,0.0000,0.000,6.809,6.824,1.0000
194.9817,-190.4280,-41.6504,0.0000,0.000,6.801,6.808,1.0000
199.9812,-195.3136,-42.7118,0.0000,0.000,6.793,6.792,1.0000
204.9807,-200.1999,-43.7696,0.0000,0.000,6.785,6.775,1.0000
209.9802,-205.0871,-44.8236,0.0000,0.000,6.777,6.759,1.0000
214.9798,-209.9751,-45.8737,0.0000,0.000,6.769,6.742,1.0000
219.9794,-214.8639,-46.9204,0.0000,0.000,6.761,6.726,1.0000
224.9790,-219.7534,-47.9643,0.0000,0.000,6.752,6.710,1.0000
229.9787,-224.6433,-49.0059,0.0000,0.000,6.744,6.693,1.0000
234.9783,-229.5336,-50.0458,0.0000,0.000,6.736,6.677,1.0000
239.9780,-234.4242,-51.0846,0.0000,0.000,6.728,6.660,1.0000
244.9777,-239.3149,-52.1229,0.0000,0.000,6.720,6.644,1.0000
249.9773,-244.2055,-53.1613,0.0000,0.000,6.712,6.628,1.0000
254.9770,-249.0960,-54.2004,0.0000,0.000,6.704,6.611,1.0000
259.9766,-253.9862,-55.2408,0.0000,0.000,6.696,6.595,1.0000
264.9762,-258.8760,-56.2830,0.0000,0.000,6.687,6.578,1.0000
269.9758,-263.7652,-57.3276,0.0000,0.000,6.679,6.562,1.0000
274.9754,-268.6538,-58.3753,0.0000,0.000,6.671,6.546,1.0000
279.9749,-273.5415,-59.4266,0.0000,0.000,6.663,6.529,1.0000
284.9744,-278.4283,-60.4821,0.0000,0.000,6.655,6.513,1.0000
289.9739,-283.3141,-61.5424,0.0000,0.000,6.647,6.496,1.0000
294.9733,-288.1986,-62.6080,0.0000,0.000,6.639,6.480,1.0000
299.9727,-293.0818,-63.6793,0.0000,0.000,6.631,6.464,1.0000
304.9721,-297.9644,-64.7538,0.0000,0.000,6.622,6.447,1.0000
309.9714,-302.8470,-65.8279,0.0000,0.000,6.614,6.431,1.0000
314.9707,-307.7304,-66.8980,0.0000,0.000,6.606,6.414,1.0000
319.9699,-312.6154,-67.9605,0.0000,0.000,6.598,6.398,1.0000
324.9691,-317.5028,-69.0118,0.0000,0.000,6.590,6.382,1.0000
329.9684,-322.3934,-70.0484,0.0000,0.000,6.582,6.365,1.0000
334.9677,-327.2880,-71.0665,0.0000,0.000,6.574,6.349,1.0000
339.9673,-332.1873,-72.0627,0.0000,0.000,6.565,6.332,1.0000
344.9671,-337.0912,-73.0375,0.0000,0.000,6.557,6.316,1.0000
349.9673,-341.9986,-73.9961,0.0000,0.000,6.535,6.356,1.0000
354.9675,-346.9081,-74.9444,0.0000,0.000,6.511,6.406,1.0000
359.9676,-351.8184,-75.8880,0.0000,0.000,6.487,6.455,1.0000
364.9676,-356.7282,-76.8328,0.0000,0.000,6.463,6.505,1.0000
369.9671,-361.6364,-77.7845,0.0000,0.000,6.439,6.554,1.0000
374.9661,-366.5415,-78.7489,0.0000,0.000,6.415,6.603,1.0000
379.9645,-371.4422,-79.7316,0.0000,0.000,6.391,6.653,1.0000
384.9621,-376.3377,-80.7370,0.0000,0.000,6.386,6.648,1.0000
389.9595,-381.2285,-81.7637,0.0000,0.000,6.382,6.643,1.0000
394.9568,-386.1153,-82.8088,0.0000,0.000,6.378,6.638,1.0000
399.9543,-390.9989,-83.8693,0.0000,0.000,6.373,6.633,1.0000
404.9522,-395.8803,-84.9423,0.0000,0.000,6.369,6.628,1.0000
409.9508,-400.7603,-86.0251,0.0000,0.000,6.364,6.622,1.0000
414.9504,-405.6396,-87.1146,0.0000,0.000,6.360,6.617,1.0000
419.9509,-410.5192,-88.2081,0.0000,0.000,6.356,6.612,1.0000
424.9528,-415.3999,-89.3025,0.0000,0.000,6.351,6.607,1.0000
429.9558,-420.2820,-90.3956,0.0000,0.000,6.347,6.602,1.0000
434.9594,-425.1653,-91.4861,0.0000,0.000,6.343,6.597,1.0000
439.9627,-430.0492,-92.5729,0.0000,0.000,6.338,6.592,1.0000
444.9652,-434.9333,-93.6549,0.0000,0.000,6.334,6.587,1.0000
449.9662,-439.8170,-94.7312,0.0000,0.000,6.329,6.582,1.0000
454.9648,-444.6999,-95.8006,0.0000,0.000,6.325,6.577,1.0000
459.9604,-449.5815,-96.8620,0.0000,0.000,6.321,6.572,1.0000
464.9524,-454.4612,-97.9145,0.0000,0.000,6.316,6.567,1.0000
469.9405,-459.3389,-98.9583,0.0000,0.000,6.312,6.562,1.0000
474.9283,-464.2157,-100.0051,0.0000,0.000,6.308,6.556,1.0000
