# Silverstone Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,3.4394,-0.4953,0.0000,0.000,6.536,6.556,1.0000
5.0005,6.3708,3.5558,0.0000,0.000,6.537,6.558,1.0000
10.0008,9.3019,7.6069,0.0000,0.000,6.538,6.560,1.0000
15.0010,12.2329,11.6581,0.0000,0.000,6.539,6.562,1.0000
20.0011,15.1636,15.7093,0.0000,0.000,6.540,6.564,1.0000
25.0012,18.0941,19.7605,0.0000,0.000,6.541,6.566,1.0000
30.0012,21.0244,23.8118,0.0000,0.000,6.543,6.568,1.0000
35.0011,23.9545,27.8632,0.0000,0.000,6.544,6.571,1.0000
40.0010,26.8845,31.9146,0.0000,0.000,6.545,6.573,1.0000
45.0008,29.8144,35.9661,0.0000,0.000,6.546,6.575,1.0000
50.0007,32.7441,40.0176,0.0000,0.000,6.547,6.577,1.0000
55.0005,35.6738,44.0692,0.0000,0.000,6.548,6.579,1.0000
60.0004,38.6034,48.1209,0.0000,0.000,6.549,6.581,1.0000
65.0003,41.5330,52.1726,0.0000,0.000,6.550,6.583,1.0000
70.0002,44.4625,56.2244,0.0000,0.000,6.551,6.585,1.0000
75.0002,47.3920,60.2763,0.0000,0.000,6.552,6.587,1.0000
80.0002,50.3214,64.3282,0.0000,0.000,6.553,6.589,1.0000
85.0002,53.2509,68.3802,0.0000,0.000,6.555,6.591,1.0000
90.0002,56.1803,72.4323,0.0000,0.000,6.556,6.594,1.0000
95.0003,59.1098,76.4843,0.0000,0.000,6.557,6.596,1.0000
100.0005,62.0392,80.5365,0.0000,0.000,6.558,6.598,1.0000
105.0006,64.9686,84.5886,0.0000,0.000,6.559,6.600,1.0000
110.0008,67.8980,88.6408,0.0000,0.000,6.560,6.602,1.0000
115.0010,70.8274,92.6930,0.0000,0.000,6.561,6.604,1.0000
120.0012,73.7568,96.7453,0.0000,0.000,6.562,6.606,1.0000
125.0014,76.6863,100.7975,0.0000,0.000,6.563,6.608,1.0000
130.0016,79.6157,104.8498,0.0000,0.000,6.564,6.610,1.0000
135.0019,82.5452,108.9020,0.0000,0.000,6.565,6.612,1.0000
140.0022,85.4746,112.9543,0.0000,0.000,6.567,6.614,1.0000
145.0025,88.4042,117.0066,0.0000,0.000,6.568,6.616,1.0000
150.0027,91.3337,121.0588,0.0000,0.000,6.569,6.619,1.0000
155.0030,94.2632,125.1111,0.0000,0.000,6.570,6.621,1.0000
160.0033,97.1928,129.1633,0.0000,0.000,6.571,6.623,1.0000
165.0036,100.1224,133.2155,0.0000,0.000,6.572,6.625,1.0000
170.0039,103.0521,137.2676,0.0000,0.000,6.573,6.627,1.0000
175.0042,105.9818,141.3198,0.0000,0.000,6.574,6.629,1.0000
180.0045,108.9116,145.3719,0.0000,0.000,6.575,6.631,1.0000
185.0048,111.8414,149.4239,0.0000,0.000,6.576,6.633,1.0000
190.0051,114.7713,153.4759,0.0000,0.000,6.577,6.635,1.0000
195.0054,117.7012,157.5278,0.0000,0.000,6.579,6.637,1.0000
200.0056,120.6312,161.5797,0.0000,0.000,6.580,6.639,1.0000
205.0058,123.5612,165.6315,0.0000,0.000,6.581,6.642,1.0000
210.0061,126.4913,169.6833,0.0000,0.000,6.582,6.644,1.0000
215.0063,129.4215,173.7350,0.0000,0.000,6.583,6.646,1.0000
220.0065,132.3518,177.7866,0.0000,0.000,6.584,6.648,1.0000
225.0066,135.2821,181.8381,0.0000,0.000,6.585,6.650,1.0000
230.0068,138.2125,185.8895,0.0000,0.000,6.586,6.652,1.0000
235.0069,141.1431,189.9408,0.0000,0.000,6.587,6.654,1.0000
240.0070,144.0737,193.9920,0.0000,0.000,6.588,6.656,1.0000
245.0070,147.0043,198.0431,0.0000,0.000,6.589,6.658,1.0000
250.0070,149.9351,202.0942,0.0000,0.000,6.590,6.660,1.0000
255.0070,152.8659,206.1451,0.0000,0.000,6.592,6.662,1.0000
260.0070,155.7966,210.1962,0.0000,0.000,6.593,6.664,1.0000
265.0069,158.7267,214.2476,0.0000,0.000,6.594,6.667,1.0000
270.0069,161.6562,218.2994,0.0000,0.000,6.595,6.669,1.0000
275.0068,164.5847,222.3520,0.0000,0.000,6.596,6.671,1.0000
280.0068,167.5120,226.4055,0.0000,0.000,6.597,6.673,1.0000
285.0068,170.4378,230.4600,0.0000,0.000,6.598,6.675,1.0000
290.0068,173.3620,234.5158,0.0000,0.000,6.599,6.677,1.0000
295.0069,176.2842,238.5731,0.0000,0.000,6.600,6.679,1.0000
300.0070,179.2043,242.6320,0.0000,0.000,6.601,6.681,1.0000
305.0072,182.1218,246.6928,0.0000,0.000,6.604,6.684,1.0000
310.0075,185.0367,250.7555,0.0000,0.000,6.619,6.690,1.0000
315.0079,187.9487,254.8206,0.0000,0.000,6.634,6.697,1.0000
320.0084,190.8575,258.8880,0.0000,0.000,6.649,6.704,1.0000
325.0090,193.7628,262.9580,0.0000,0.000,6.664,6.711,1.0000
330.0098,196.6645,267.0308,0.0000,0.000,6.679,6.718,1.0000
335.0107,199.5622,271.1067,0.0000,0.000,6.694,6.725,1.0000
340.0117,202.4557,275.1857,0.0000,0.000,6.709,6.731,1.0000
345.0129,205.3454,279.2675,0.0000,0.000,6.724,6.738,1.0000
350.0136,208.2357,283.3483,0.0000,0.000,6.740,6.745,1.0000
355.0129,211.1330,287.4225,0.0000,0.000,6.755,6.752,1.0000
360.0100,214.0433,291.4846,0.0000,0.000,6.770,6.759,1.0000
365.0041,216.9730,295.5292,0.0000,0.000,6.773,6.668,1.0000
369.9973,219.9181,299.5613,0.0000,0.000,6.777,6.577,1.0000
375.0014,222.8373,303.6256,0.0000,0.000,6.780,6.486,1.0000
380.0284,225.6945,307.7618,0.0000,0.000,6.784,6.395,1.0000
385.0426,228.6503,311.8121,0.0000,0.000,6.787,6.304,1.0000
390.0091,231.9933,315.4850,0.0000,0.000,6.846,6.470,1.0000
394.9477,235.8124,318.6163,0.0000,0.000,6.866,6.933,1.0000
399.8773,240.0486,321.1371,0.0000,0.000,7.274,6.788,1.0000
404.8387,244.6144,323.0787,0.0000,0.000,6.919,7.202,1.0000
409.8545,249.3690,324.6759,0.0000,0.000,6.700,7.028,1.0000
414.8882,254.1791,326.1597,0.0000,0.000,6.973,6.965,1.0000
419.9158,259.0076,327.5607,0.0000,0.000,6.858,6.974,1.0000
424.9279,263.8573,328.8265,0.0000,0.000,6.878,6.917,1.0000
429.9196,268.7312,329.9040,0.0000,0.000,7.140,6.741,1.0000
434.8919,273.6325,330.7414,0.0000,0.000,7.301,6.699,1.0000
439.8548,278.5610,331.3252,0.0000,0.000,7.224,6.788,1.0000
444.8204,283.5133,331.6880,0.0000,0.000,7.135,6.950,1.0000
449.7958,288.4855,331.8652,0.0000,0.000,6.878,7.279,1.0000
454.7843,293.4740,331.8923,0.0000,0.000,6.950,7.281,1.0000
459.7860,298.4749,331.8047,0.0000,0.000,7.069,7.205,1.0000
464.7984,303.4845,331.6377,0.0000,0.000,6.919,7.243,1.0000
469.8174,308.4990,331.4269,0.0000,0.000,6.881,7.192,1.0000
474.8379,313.5148,331.2077,0.0000,0.000,7.071,6.961,1.0000
479.8547,318.5279,331.0153,0.0000,0.000,7.129,6.890,1.0000
484.8650,323.5360,330.8700,0.0000,0.000,7.120,6.901,1.0000
489.8693,328.5392,330.7609,0.0000,0.000,7.090,6.939,1.0000
494.8689,333.5380,330.6734,0.0000,0.000,7.024,7.021,1.0000
499.8642,338.5327,330.5928,0.0000,0.000,6.958,7.104,1.0000
504.8562,343.5239,330.5045,0.0000,0.000,6.976,7.045,1.0000
509.8456,348.5120,330.3938,0.0000,0.000,7.058,6.879,1.0000
514.8332,353.4975,330.2461,0.0000,0.000,7.141,6.713,1.0000
519.8205,358.4808,330.0468,0.0000,0.000,7.190,6.605,1.0000
524.8092,363.4624,329.7811,0.0000,0.000,7.157,6.646,1.0000
529.8012,368.4428,329.4400,0.0000,0.000,7.123,6.687,1.0000
534.7974,373.4225,329.0346,0.0000,0.000,7.089,6.728,1.0000
539.7976,378.4021,328.5809,0.0000,0.000,7.055,6.769,1.0000
