# Sochi Autodrom — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-1.3844,0.9560,0.0000,0.000,7.198,6.439,1.0000
5.0006,-4.0671,-3.2641,0.0000,0.000,7.199,6.442,1.0000
10.0014,-6.7504,-7.4840,0.0000,0.000,7.199,6.444,1.0000
15.0023,-9.4344,-11.7036,0.0000,0.000,7.199,6.446,1.0000
20.0034,-12.1188,-15.9231,0.0000,0.000,7.199,6.449,1.0000
25.0045,-14.8038,-20.1424,0.0000,0.000,7.199,6.451,1.0000
30.0058,-17.4893,-24.3615,0.0000,0.000,7.199,6.453,1.0000
35.0071,-20.1751,-28.5805,0.0000,0.000,7.199,6.456,1.0000
40.0085,-22.8613,-32.7993,0.0000,0.000,7.199,6.458,1.0000
45.0100,-25.5478,-37.0181,0.0000,0.000,7.199,6.460,1.0000
50.0115,-28.2345,-41.2367,0.0000,0.000,7.199,6.463,1.0000
55.0131,-30.9215,-45.4552,0.0000,0.000,7.199,6.465,1.0000
60.0147,-33.6086,-49.6736,0.0000,0.000,7.199,6.467,1.0000
65.0163,-36.2958,-53.8920,0.0000,0.000,7.199,6.470,1.0000
70.0178,-38.9830,-58.1103,0.0000,0.000,7.199,6.472,1.0000
75.0194,-41.6703,-62.3286,0.0000,0.000,7.199,6.474,1.0000
80.0209,-44.3575,-66.5469,0.0000,0.000,7.199,6.477,1.0000
85.0223,-47.0447,-70.7652,0.0000,0.000,7.199,6.479,1.0000
90.0237,-49.7317,-74.9835,0.0000,0.000,7.199,6.481,1.0000
95.0251,-52.4188,-79.2017,0.0000,0.000,7.200,6.484,1.0000
100.0265,-55.1057,-83.4200,0.0000,0.000,7.200,6.486,1.0000
105.0278,-57.7926,-87.6383,0.0000,0.000,7.200,6.488,1.0000
110.0291,-60.4794,-91.8565,0.0000,0.000,7.200,6.491,1.0000
115.0303,-63.1661,-96.0748,0.0000,0.000,7.200,6.493,1.0000
120.0315,-65.8528,-100.2931,0.0000,0.000,7.200,6.495,1.0000
125.0327,-68.5394,-104.5114,0.0000,0.000,7.200,6.497,1.0000
130.0339,-71.2260,-108.7297,0.0000,0.000,7.200,6.500,1.0000
135.0351,-73.9125,-112.9481,0.0000,0.000,7.200,6.502,1.0000
