# Circuit de Spa-Francorchamps — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-0.2234,2.0758,0.0000,0.000,6.853,6.687,1.0000
4.9987,-2.8867,6.3059,0.0000,0.000,6.848,6.693,1.0000
9.9974,-5.5486,10.5369,0.0000,0.000,6.843,6.698,1.0000
14.9961,-8.2092,14.7687,0.0000,0.000,6.839,6.704,1.0000
19.9948,-10.8686,19.0012,0.0000,0.000,6.834,6.709,1.0000
24.9934,-13.5268,23.2345,0.0000,0.000,6.829,6.715,1.0000
29.9921,-16.1840,27.4684,0.0000,0.000,6.825,6.720,1.0000
34.9907,-18.8401,31.7029,0.0000,0.000,6.820,6.725,1.0000
39.9894,-21.4952,35.9381,0.0000,0.000,6.815,6.731,1.0000
44.9880,-24.1495,40.1738,0.0000,0.000,6.811,6.736,1.0000
49.9866,-26.8029,44.4100,0.0000,0.000,6.806,6.742,1.0000
54.9852,-29.4555,48.6467,0.0000,0.000,6.801,6.747,1.0000
59.9838,-32.1075,52.8839,0.0000,0.000,6.797,6.753,1.0000
64.9824,-34.7588,57.1214,0.0000,0.000,6.792,6.758,1.0000
69.9810,-37.4095,61.3592,0.0000,0.000,6.787,6.763,1.0000
74.9796,-40.0598,65.5974,0.0000,0.000,6.783,6.769,1.0000
79.9782,-42.7096,69.8359,0.0000,0.000,6.778,6.774,1.0000
84.9768,-45.3590,74.0745,0.0000,0.000,6.773,6.780,1.0000
89.9753,-48.0082,78.3133,0.0000,0.000,6.769,6.785,1.0000
94.9739,-50.6571,82.5523,0.0000,0.000,6.764,6.791,1.0000
99.9725,-53.3058,86.7914,0.0000,0.000,6.759,6.796,1.0000
104.9710,-55.9544,91.0306,0.0000,0.000,6.755,6.802,1.0000
109.9696,-58.6030,95.2697,0.0000,0.000,6.750,6.807,1.0000
114.9681,-61.2516,99.5089,0.0000,0.000,6.745,6.812,1.0000
119.9666,-63.9003,103.7479,0.0000,0.000,6.741,6.818,1.0000
124.9652,-66.5492,107.9869,0.0000,0.000,6.742,6.822,1.0000
129.9637,-69.1983,112.2257,0.0000,0.000,6.748,6.825,1.0000
134.9622,-71.8477,116.4644,0.0000,0.000,6.754,6.829,1.0000
139.9608,-74.4974,120.7028,0.0000,0.000,6.760,6.832,1.0000
144.9593,-77.1476,124.9409,0.0000,0.000,6.765,6.835,1.0000
149.9578,-79.7982,129.1787,0.0000,0.000,6.771,6.838,1.0000
154.9563,-82.4495,133.4162,0.0000,0.000,6.777,6.842,1.0000
159.9548,-85.1013,137.6533,0.0000,0.000,6.783,6.845,1.0000
164.9534,-87.7538,141.8899,0.0000,0.000,6.789,6.848,1.0000
169.9519,-90.4071,146.1261,0.0000,0.000,6.795,6.852,1.0000
174.9504,-93.0612,150.3618,0.0000,0.000,6.800,6.855,1.0000
179.9489,-95.7162,154.5969,0.0000,0.000,6.806,6.858,1.0000
184.9474,-98.3722,158.8314,0.0000,0.000,6.812,6.861,1.0000
189.9459,-101.0292,163.0652,0.0000,0.000,6.818,6.865,1.0000
194.9444,-103.6872,167.2984,0.0000,0.000,6.824,6.868,1.0000
199.9429,-106.3462,171.5310,0.0000,0.000,6.829,6.871,1.0000
204.9414,-109.0061,175.7630,0.0000,0.000,6.835,6.875,1.0000
209.9400,-111.6668,179.9946,0.0000,0.000,6.841,6.878,1.0000
214.9385,-114.3281,184.2258,0.0000,0.000,6.847,6.881,1.0000
219.9371,-116.9900,188.4566,0.0000,0.000,6.853,6.884,1.0000
224.9357,-119.6523,192.6873,0.0000,0.000,6.859,6.888,1.0000
229.9343,-122.3149,196.9177,0.0000,0.000,6.864,6.891,1.0000
234.9329,-124.9778,201.1480,0.0000,0.000,6.870,6.894,1.0000
239.9316,-127.6407,205.3783,0.0000,0.000,6.876,6.898,1.0000
244.9303,-130.3037,209.6086,0.0000,0.000,6.882,6.901,1.0000
249.9291,-132.9665,213.8391,0.0000,0.000,6.888,6.904,1.0000
254.9279,-135.6291,218.0698,0.0000,0.000,6.893,6.907,1.0000
259.9267,-138.2914,222.3007,0.0000,0.000,6.899,6.911,1.0000
264.9256,-140.9533,226.5319,0.0000,0.000,6.905,6.914,1.0000
269.9245,-143.6146,230.7636,0.0000,0.000,6.911,6.917,1.0000
274.9235,-146.2752,234.9957,0.0000,0.000,6.917,6.921,1.0000
279.9226,-148.9350,239.2284,0.0000,0.000,6.923,6.924,1.0000
284.9217,-151.5940,243.4618,0.0000,0.000,6.928,6.927,1.0000
289.9209,-154.2520,247.6958,0.0000,0.000,6.934,6.930,1.0000
294.9201,-156.9088,251.9306,0.0000,0.000,6.940,6.934,1.0000
299.9195,-159.5645,256.1662,0.0000,0.000,6.946,6.937,1.0000
304.9188,-162.2185,260.4030,0.0000,0.000,6.952,6.940,1.0000
309.9179,-164.8684,264.6420,0.0000,0.000,6.958,6.944,1.0000
314.9165,-167.5116,268.8845,0.0000,0.000,6.963,6.947,1.0000
319.9141,-170.1452,273.1319,0.0000,0.000,6.964,6.943,1.0000
324.9106,-172.7664,277.3856,0.0000,0.000,6.962,6.936,1.0000
329.9056,-175.3724,281.6469,0.0000,0.000,6.959,6.928,1.0000
334.8996,-177.9674,285.9138,0.0000,0.000,6.957,6.921,1.0000
339.8945,-180.5659,290.1796,0.0000,0.000,6.955,6.914,1.0000
344.8920,-183.1832,294.4369,0.0000,0.000,6.952,6.906,1.0000
349.8942,-185.8346,298.6785,0.0000,0.000,6.950,6.899,1.0000
354.9034,-188.5356,302.8972,0.0000,0.000,6.948,6.891,1.0000
359.9207,-191.2858,307.0937,0.0000,0.000,6.945,6.884,1.0000
364.9308,-193.9439,311.3404,0.0000,0.000,6.943,6.877,1.0000
369.9258,-196.2938,315.7482,0.0000,0.000,7.026,6.849,1.0000
374.9105,-198.1004,320.3940,0.0000,0.000,7.606,6.707,1.0000
379.8008,-199.0394,325.1932,0.0000,0.000,7.229,6.647,1.0000
384.6285,-198.7605,330.0128,0.0000,0.000,6.326,6.654,1.0000
389.6115,-197.1101,334.7147,0.0000,0.000,6.604,6.676,1.0000
394.7858,-194.4405,339.1471,0.0000,0.000,6.606,6.494,1.0000
399.9485,-191.1720,343.1434,0.0000,0.000,7.569,6.408,1.0000
404.7704,-187.1863,345.8572,0.0000,0.000,8.270,6.825,1.0000
409.4675,-182.4894,345.8184,0.0000,0.000,8.571,7.324,1.0000
414.3631,-177.7652,344.5343,0.0000,0.000,8.488,7.900,1.0000
419.2987,-173.1003,342.9221,0.0000,0.000,8.461,7.963,1.0000
424.2779,-168.4815,341.0623,0.0000,0.000,8.440,7.967,1.0000
429.2919,-163.8953,339.0357,0.0000,0.000,8.420,7.972,1.0000
434.3239,-159.3285,336.9227,0.0000,0.000,8.400,7.976,1.0000
439.3532,-154.7676,334.8032,0.0000,0.000,8.379,7.981,1.0000
444.3686,-150.2048,332.7211,0.0000,0.000,8.359,7.985,1.0000
449.3726,-145.6390,330.6732,0.0000,0.000,8.338,7.989,1.0000
454.3686,-141.0697,328.6530,0.0000,0.000,8.318,7.994,1.0000
459.3598,-136.4964,326.6538,0.0000,0.000,8.297,7.998,1.0000
464.3494,-131.9185,324.6690,0.0000,0.000,8.277,8.002,1.0000
469.3403,-127.3357,322.6924,0.0000,0.000,8.256,8.007,1.0000
474.3332,-122.7490,320.7199,0.0000,0.000,8.236,8.011,1.0000
479.3278,-118.1599,318.7484,0.0000,0.000,8.216,8.015,1.0000
484.3239,-113.5701,316.7748,0.0000,0.000,8.195,8.020,1.0000
489.3212,-108.9813,314.7961,0.0000,0.000,8.175,8.024,1.0000
494.3195,-104.3949,312.8092,0.0000,0.000,8.154,8.029,1.0000
