# Circuit de Spa-Francorchamps — OSM (ODbL) centerline + eudem25m elevation
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,329.4721,-617.4686,452.0796,0.000,6.000,6.000,1.0000
2.9994,326.8612,-618.9449,452.2692,0.000,6.000,6.000,1.0000
5.9989,324.2502,-620.4212,452.4203,0.000,6.000,6.000,1.0000
8.9983,321.6941,-621.9897,452.5347,0.000,6.000,6.000,1.0000
11.9977,319.1510,-623.5801,452.6141,0.000,6.000,6.000,1.0000
14.9972,316.6079,-625.1704,452.6604,0.000,6.000,6.000,1.0000
17.9966,314.0648,-626.7608,452.6753,0.000,6.000,6.000,1.0000
20.9960,311.5217,-628.3512,452.6608,0.000,6.000,6.000,1.0000
23.9955,308.9786,-629.9416,452.6185,0.000,6.000,6.000,1.0000
26.9949,306.4356,-631.5319,452.5503,0.000,6.000,6.000,1.0000
29.9943,303.8925,-633.1223,452.4581,0.000,6.000,6.000,1.0000
32.9938,301.3494,-634.7127,452.3435,0.000,6.000,6.000,1.0000
35.9932,298.8063,-636.3031,452.2085,0.000,6.000,6.000,1.0000
38.9926,296.2672,-637.8999,452.0549,0.000,6.000,6.000,1.0000
41.9921,293.7337,-639.5054,451.8844,0.000,6.000,6.000,1.0000
44.9915,291.2001,-641.1109,451.6989,0.000,6.000,6.000,1.0000
47.9909,288.6665,-642.7164,451.5001,0.000,6.000,6.000,1.0000
50.9904,286.1329,-644.3219,451.2899,0.000,6.000,6.000,1.0000
53.9898,283.5994,-645.9273,451.0702,0.000,6.000,6.000,1.0000
56.9892,281.0658,-647.5328,450.8426,0.000,6.000,6.000,1.0000
59.9887,278.5322,-649.1383,450.6090,0.000,6.000,6.000,1.0000
62.9881,275.9986,-650.7438,450.3713,0.000,6.000,6.000,1.0000
65.9875,273.4651,-652.3493,450.1312,0.000,6.000,6.000,1.0000
68.9870,270.9315,-653.9548,449.8906,0.000,6.000,6.000,1.0000
71.9864,268.3979,-655.5603,449.6512,0.000,6.000,6.000,1.0000
74.9859,265.8643,-657.1658,449.4149,0.000,6.000,6.000,1.0000
77.9853,263.3308,-658.7713,449.1834,0.000,6.000,6.000,1.0000
80.9847,260.7972,-660.3768,448.9587,0.000,6.000,6.000,1.0000
83.9842,258.2636,-661.9823,448.7424,0.000,6.000,6.000,1.0000
86.9836,255.7300,-663.5878,448.5364,0.000,6.000,6.000,1.0000
89.9830,253.1822,-665.1700,448.3426,0.000,6.000,6.000,1.0000
92.9825,250.6065,-666.7070,448.1627,0.000,6.000,6.000,1.0000
95.9819,248.0308,-668.2441,447.9985,0.000,6.000,6.000,1.0000
98.9813,245.4778,-669.8180,447.8519,0.000,6.000,6.000,1.0000
101.9808,242.9414,-671.4190,447.7246,0.000,6.000,6.000,1.0000
104.9802,240.4050,-673.0201,447.6185,0.000,6.000,6.000,1.0000
107.9796,237.9512,-674.7413,447.5354,0.000,6.000,6.000,1.0000
110.9791,235.5470,-676.5348,447.4770,0.000,6.000,6.000,1.0000
113.9785,233.1683,-678.3590,447.4448,0.000,6.000,6.000,1.0000
116.9779,230.9569,-680.3854,447.4383,0.000,6.000,6.000,1.0000
119.9774,228.8860,-682.5483,447.4565,0.000,6.000,6.000,1.0000
122.9768,226.9245,-684.8174,447.4985,0.000,6.000,6.000,1.0000
125.9762,225.0641,-687.1643,447.5633,0.000,6.000,6.000,1.0000
128.9757,223.3783,-689.6452,447.6502,0.000,6.000,6.000,1.0000
131.9751,221.7444,-692.1565,447.7580,0.000,6.000,6.000,1.0000
134.9745,220.3980,-694.8368,447.8860,0.000,6.000,6.000,1.0000
137.9740,219.0664,-697.5230,448.0331,0.000,6.000,6.000,1.0000
140.9734,218.1688,-700.3850,448.1984,0.000,6.000,6.000,1.0000
143.9728,217.2711,-703.2470,448.3811,0.000,6.000,6.000,1.0000
146.9723,216.6806,-706.1814,448.5801,0.000,6.000,6.000,1.0000
149.9717,216.2043,-709.1428,448.7945,0.000,6.000,6.000,1.0000
152.9711,215.9093,-712.1217,449.0235,0.000,6.000,6.000,1.0000
