# Red Bull Ring — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-1.2082,-0.9346,0.0000,0.000,5.970,6.167,1.0000
4.9973,-6.0341,-2.2319,0.0000,0.000,5.963,6.159,1.0000
9.9946,-10.8601,-3.5291,0.0000,0.000,5.957,6.151,1.0000
14.9918,-15.6861,-4.8263,0.0000,0.000,5.951,6.143,1.0000
19.9891,-20.5121,-6.1235,0.0000,0.000,5.945,6.135,1.0000
24.9863,-25.3380,-7.4206,0.0000,0.000,5.938,6.127,1.0000
29.9836,-30.1639,-8.7178,0.0000,0.000,5.932,6.119,1.0000
34.9808,-34.9898,-10.0150,0.0000,0.000,5.926,6.111,1.0000
39.9779,-39.8157,-11.3123,0.0000,0.000,5.920,6.103,1.0000
44.9751,-44.6414,-12.6097,0.0000,0.000,5.913,6.095,1.0000
49.9722,-49.4672,-13.9071,0.0000,0.000,5.907,6.087,1.0000
54.9692,-54.2928,-15.2046,0.0000,0.000,5.901,6.079,1.0000
59.9663,-59.1185,-16.5023,0.0000,0.000,5.895,6.071,1.0000
64.9633,-63.9440,-17.7999,0.0000,0.000,5.888,6.063,1.0000
69.9602,-68.7695,-19.0977,0.0000,0.000,5.882,6.056,1.0000
74.9572,-73.5950,-20.3955,0.0000,0.000,5.876,6.048,1.0000
79.9541,-78.4204,-21.6934,0.0000,0.000,5.869,6.040,1.0000
84.9510,-83.2458,-22.9913,0.0000,0.000,5.863,6.032,1.0000
89.9479,-88.0712,-24.2894,0.0000,0.000,5.857,6.024,1.0000
94.9448,-92.8965,-25.5874,0.0000,0.000,5.851,6.016,1.0000
99.9416,-97.7218,-26.8856,0.0000,0.000,5.844,6.008,1.0000
104.9385,-102.5471,-28.1837,0.0000,0.000,5.838,6.000,1.0000
109.9353,-107.3723,-29.4820,0.0000,0.000,5.832,5.992,1.0000
114.9321,-112.1975,-30.7803,0.0000,0.000,5.826,5.984,1.0000
119.9289,-117.0227,-32.0786,0.0000,0.000,5.819,5.976,1.0000
124.9257,-121.8479,-33.3770,0.0000,0.000,5.813,5.968,1.0000
129.9225,-126.6730,-34.6754,0.0000,0.000,5.807,5.960,1.0000
134.9193,-131.4982,-35.9738,0.0000,0.000,5.801,5.952,1.0000
139.9161,-136.3233,-37.2723,0.0000,0.000,5.794,5.945,1.0000
144.9129,-141.1484,-38.5708,0.0000,0.000,5.788,5.937,1.0000
149.9097,-145.9735,-39.8694,0.0000,0.000,5.782,5.929,1.0000
154.9065,-150.7986,-41.1680,0.0000,0.000,5.776,5.921,1.0000
159.9033,-155.6237,-42.4666,0.0000,0.000,5.769,5.913,1.0000
164.9001,-160.4488,-43.7652,0.0000,0.000,5.763,5.905,1.0000
169.8969,-165.2740,-45.0639,0.0000,0.000,5.757,5.897,1.0000
174.8938,-170.0991,-46.3625,0.0000,0.000,5.751,5.889,1.0000
179.8906,-174.9242,-47.6612,0.0000,0.000,5.744,5.881,1.0000
184.8875,-179.7493,-48.9599,0.0000,0.000,5.738,5.873,1.0000
189.8843,-184.5745,-50.2586,0.0000,0.000,5.732,5.865,1.0000
194.8812,-189.3997,-51.5573,0.0000,0.000,5.726,5.857,1.0000
199.8781,-194.2248,-52.8560,0.0000,0.000,5.719,5.849,1.0000
204.8751,-199.0501,-54.1548,0.0000,0.000,5.713,5.841,1.0000
209.8720,-203.8753,-55.4535,0.0000,0.000,5.707,5.833,1.0000
214.8690,-208.7006,-56.7522,0.0000,0.000,5.701,5.826,1.0000
219.8660,-213.5258,-58.0509,0.0000,0.000,5.694,5.818,1.0000
224.8631,-218.3512,-59.3496,0.0000,0.000,5.688,5.810,1.0000
229.8601,-223.1765,-60.6483,0.0000,0.000,5.682,5.802,1.0000
234.8572,-228.0019,-61.9470,0.0000,0.000,5.676,5.794,1.0000
239.8544,-232.8274,-63.2457,0.0000,0.000,5.669,5.786,1.0000
244.8515,-237.6528,-64.5443,0.0000,0.000,5.663,5.778,1.0000
249.8487,-242.4784,-65.8430,0.0000,0.000,5.657,5.770,1.0000
254.8460,-247.3039,-67.1416,0.0000,0.000,5.651,5.762,1.0000
259.8433,-252.1295,-68.4402,0.0000,0.000,5.644,5.754,1.0000
264.8406,-256.9552,-69.7387,0.0000,0.000,5.638,5.746,1.0000
269.8380,-261.7809,-71.0372,0.0000,0.000,5.632,5.738,1.0000
274.8354,-266.6067,-72.3357,0.0000,0.000,5.626,5.730,1.0000
279.8329,-271.4326,-73.6342,0.0000,0.000,5.619,5.722,1.0000
284.8304,-276.2585,-74.9326,0.0000,0.000,5.613,5.715,1.0000
289.8280,-281.0844,-76.2310,0.0000,0.000,5.607,5.707,1.0000
294.8256,-285.9105,-77.5293,0.0000,0.000,5.601,5.699,1.0000
299.8233,-290.7366,-78.8276,0.0000,0.000,5.594,5.691,1.0000
304.8211,-295.5628,-80.1258,0.0000,0.000,5.588,5.683,1.0000
309.8189,-300.3890,-81.4240,0.0000,0.000,5.582,5.675,1.0000
314.8167,-305.2153,-82.7222,0.0000,0.000,5.576,5.667,1.0000
319.8145,-310.0416,-84.0202,0.0000,0.000,5.569,5.659,1.0000
324.8123,-314.8679,-85.3182,0.0000,0.000,5.563,5.651,1.0000
329.8098,-319.6939,-86.6160,0.0000,0.000,5.557,5.643,1.0000
334.8071,-324.5198,-87.9137,0.0000,0.000,5.551,5.635,1.0000
339.8040,-329.3453,-89.2113,0.0000,0.000,5.544,5.627,1.0000
344.8004,-334.1704,-90.5087,0.0000,0.000,5.538,5.619,1.0000
349.7964,-338.9950,-91.8059,0.0000,0.000,5.532,5.611,1.0000
354.7918,-343.8190,-93.1029,0.0000,0.000,5.525,5.604,1.0000
359.7864,-348.6424,-94.3996,0.0000,0.000,5.519,5.596,1.0000
364.7803,-353.4651,-95.6962,0.0000,0.000,5.513,5.588,1.0000
369.7734,-358.2870,-96.9924,0.0000,0.000,5.507,5.580,1.0000
374.7655,-363.1080,-98.2883,0.0000,0.000,5.500,5.572,1.0000
379.7567,-367.9280,-99.5840,0.0000,0.000,5.494,5.564,1.0000
384.7479,-372.7481,-100.8799,0.0000,0.000,5.488,5.556,1.0000
389.7417,-377.5703,-102.1775,0.0000,0.000,5.482,5.548,1.0000
394.7406,-382.3971,-103.4782,0.0000,0.000,5.475,5.540,1.0000
