# Suzuka Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,3.1051,0.1421,0.0000,0.000,7.433,7.185,1.0000
5.0017,6.3920,-3.6280,0.0000,0.000,7.434,7.141,1.0000
10.0033,9.6729,-7.4031,0.0000,0.000,7.435,7.143,1.0000
15.0046,12.9480,-11.1829,0.0000,0.000,7.436,7.144,1.0000
20.0058,16.2179,-14.9670,0.0000,0.000,7.436,7.146,1.0000
25.0069,19.4832,-18.7550,0.0000,0.000,7.437,7.148,1.0000
30.0078,22.7441,-22.5465,0.0000,0.000,7.438,7.149,1.0000
35.0087,26.0013,-26.3411,0.0000,0.000,7.438,7.151,1.0000
40.0095,29.2552,-30.1385,0.0000,0.000,7.439,7.153,1.0000
45.0102,32.5062,-33.9383,0.0000,0.000,7.440,7.154,1.0000
50.0109,35.7549,-37.7400,0.0000,0.000,7.440,7.156,1.0000
55.0115,39.0017,-41.5433,0.0000,0.000,7.441,7.158,1.0000
60.0122,42.2470,-45.3478,0.0000,0.000,7.442,7.160,1.0000
65.0128,45.4915,-49.1530,0.0000,0.000,7.442,7.161,1.0000
70.0135,48.7354,-52.9587,0.0000,0.000,7.443,7.163,1.0000
75.0141,51.9794,-56.7644,0.0000,0.000,7.444,7.165,1.0000
80.0148,55.2238,-60.5697,0.0000,0.000,7.444,7.166,1.0000
85.0155,58.4691,-64.3744,0.0000,0.000,7.445,7.168,1.0000
90.0163,61.7151,-68.1784,0.0000,0.000,7.446,7.170,1.0000
95.0170,64.9620,-71.9818,0.0000,0.000,7.446,7.171,1.0000
100.0179,68.2096,-75.7846,0.0000,0.000,7.447,7.173,1.0000
105.0187,71.4578,-79.5869,0.0000,0.000,7.448,7.175,1.0000
110.0196,74.7066,-83.3887,0.0000,0.000,7.448,7.176,1.0000
115.0205,77.9560,-87.1901,0.0000,0.000,7.449,7.178,1.0000
120.0214,81.2059,-90.9911,0.0000,0.000,7.449,7.180,1.0000
125.0223,84.4561,-94.7918,0.0000,0.000,7.450,7.182,1.0000
130.0233,87.7067,-98.5922,0.0000,0.000,7.451,7.183,1.0000
135.0243,90.9576,-102.3924,0.0000,0.000,7.451,7.185,1.0000
