# Yas Marina Circuit — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,2.2943,-5.2041,0.0000,0.000,6.854,6.746,1.0000
5.0019,7.2542,-4.5577,0.0000,0.000,6.854,6.619,1.0000
10.0039,12.2144,-3.9128,0.0000,0.000,6.849,6.546,1.0000
15.0059,17.1749,-3.2693,0.0000,0.000,6.838,6.549,1.0000
20.0079,22.1355,-2.6272,0.0000,0.000,6.827,6.551,1.0000
25.0100,27.0964,-1.9865,0.0000,0.000,6.816,6.554,1.0000
30.0121,32.0575,-1.3471,0.0000,0.000,6.804,6.556,1.0000
35.0142,37.0187,-0.7091,0.0000,0.000,6.793,6.559,1.0000
40.0164,41.9802,-0.0723,0.0000,0.000,6.782,6.561,1.0000
45.0186,46.9419,0.5633,0.0000,0.000,6.771,6.563,1.0000
50.0208,51.9037,1.1976,0.0000,0.000,6.760,6.566,1.0000
55.0230,56.8657,1.8308,0.0000,0.000,6.748,6.568,1.0000
60.0253,61.8279,2.4629,0.0000,0.000,6.737,6.571,1.0000
65.0276,66.7902,3.0939,0.0000,0.000,6.726,6.573,1.0000
70.0299,71.7527,3.7237,0.0000,0.000,6.715,6.576,1.0000
75.0322,76.7153,4.3526,0.0000,0.000,6.703,6.578,1.0000
80.0345,81.6781,4.9804,0.0000,0.000,6.692,6.580,1.0000
85.0368,86.6410,5.6073,0.0000,0.000,6.681,6.583,1.0000
90.0392,91.6040,6.2333,0.0000,0.000,6.670,6.585,1.0000
95.0415,96.5671,6.8583,0.0000,0.000,6.659,6.588,1.0000
100.0438,101.5304,7.4825,0.0000,0.000,6.647,6.590,1.0000
105.0462,106.4937,8.1058,0.0000,0.000,6.636,6.593,1.0000
110.0485,111.4571,8.7283,0.0000,0.000,6.625,6.595,1.0000
115.0508,116.4207,9.3501,0.0000,0.000,6.614,6.597,1.0000
120.0531,121.3843,9.9711,0.0000,0.000,6.602,6.602,1.0000
125.0554,126.3479,10.5915,0.0000,0.000,6.589,6.611,1.0000
130.0577,131.3117,11.2111,0.0000,0.000,6.576,6.620,1.0000
135.0599,136.2755,11.8301,0.0000,0.000,6.563,6.630,1.0000
140.0622,141.2393,12.4486,0.0000,0.000,6.551,6.639,1.0000
145.0644,146.2033,13.0664,0.0000,0.000,6.538,6.649,1.0000
150.0665,151.1672,13.6837,0.0000,0.000,6.525,6.658,1.0000
155.0687,156.1312,14.3005,0.0000,0.000,6.512,6.668,1.0000
160.0708,161.0952,14.9168,0.0000,0.000,6.499,6.677,1.0000
165.0729,166.0592,15.5327,0.0000,0.000,6.486,6.686,1.0000
170.0749,171.0232,16.1482,0.0000,0.000,6.473,6.696,1.0000
