# Circuit Zandvoort — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,-1.6833,-1.8782,0.0000,0.000,5.271,5.074,1.0000
4.9996,0.1515,2.7725,0.0000,0.000,5.295,5.099,1.0000
9.9991,1.9864,7.4231,0.0000,0.000,5.319,5.125,1.0000
14.9986,3.8215,12.0737,0.0000,0.000,5.343,5.150,1.0000
19.9981,5.6566,16.7242,0.0000,0.000,5.367,5.175,1.0000
24.9975,7.4918,21.3746,0.0000,0.000,5.391,5.200,1.0000
29.9969,9.3269,26.0250,0.0000,0.000,5.415,5.226,1.0000
34.9963,11.1620,30.6754,0.0000,0.000,5.439,5.251,1.0000
39.9956,12.9970,35.3258,0.0000,0.000,5.462,5.276,1.0000
44.9949,14.8319,39.9761,0.0000,0.000,5.486,5.301,1.0000
49.9941,16.6667,44.6265,0.0000,0.000,5.510,5.327,1.0000
54.9933,18.5012,49.2769,0.0000,0.000,5.534,5.352,1.0000
59.9924,20.3354,53.9274,0.0000,0.000,5.558,5.377,1.0000
64.9915,22.1694,58.5779,0.0000,0.000,5.582,5.402,1.0000
69.9905,24.0031,63.2285,0.0000,0.000,5.606,5.428,1.0000
74.9894,25.8364,67.8791,0.0000,0.000,5.630,5.453,1.0000
79.9883,27.6692,72.5298,0.0000,0.000,5.654,5.478,1.0000
84.9871,29.5017,77.1806,0.0000,0.000,5.678,5.503,1.0000
89.9859,31.3339,81.8315,0.0000,0.000,5.702,5.529,1.0000
94.9846,33.1656,86.4825,0.0000,0.000,5.726,5.554,1.0000
99.9832,34.9971,91.1336,0.0000,0.000,5.750,5.579,1.0000
104.9818,36.8283,95.7847,0.0000,0.000,5.774,5.604,1.0000
109.9804,38.6591,100.4359,0.0000,0.000,5.798,5.630,1.0000
114.9789,40.4897,105.0872,0.0000,0.000,5.822,5.655,1.0000
119.9775,42.3201,109.7385,0.0000,0.000,5.845,5.680,1.0000
124.9760,44.1502,114.3899,0.0000,0.000,5.869,5.706,1.0000
129.9745,45.9802,119.0414,0.0000,0.000,5.893,5.731,1.0000
134.9729,47.8099,123.6929,0.0000,0.000,5.917,5.756,1.0000
139.9714,49.6395,128.3445,0.0000,0.000,5.941,5.781,1.0000
144.9699,51.4690,132.9962,0.0000,0.000,5.965,5.807,1.0000
149.9684,53.2983,137.6479,0.0000,0.000,5.989,5.832,1.0000
154.9669,55.1276,142.2997,0.0000,0.000,6.013,5.857,1.0000
159.9654,56.9568,146.9515,0.0000,0.000,6.037,5.882,1.0000
164.9640,58.7859,151.6034,0.0000,0.000,6.061,5.908,1.0000
169.9626,60.6150,156.2553,0.0000,0.000,6.085,5.933,1.0000
174.9612,62.4441,160.9072,0.0000,0.000,6.109,5.958,1.0000
179.9599,64.2732,165.5592,0.0000,0.000,6.133,5.983,1.0000
184.9586,66.1023,170.2113,0.0000,0.000,6.157,6.009,1.0000
189.9574,67.9315,174.8634,0.0000,0.000,6.181,6.034,1.0000
194.9562,69.7607,179.5155,0.0000,0.000,6.205,6.059,1.0000
199.9551,71.5900,184.1676,0.0000,0.000,6.229,6.084,1.0000
204.9541,73.4195,188.8198,0.0000,0.000,6.252,6.110,1.0000
209.9531,75.2491,193.4720,0.0000,0.000,6.276,6.135,1.0000
214.9522,77.0788,198.1242,0.0000,0.000,6.300,6.160,1.0000
219.9515,78.9087,202.7765,0.0000,0.000,6.324,6.185,1.0000
224.9508,80.7388,207.4288,0.0000,0.000,6.348,6.211,1.0000
229.9502,82.5692,212.0811,0.0000,0.000,6.372,6.236,1.0000
234.9497,84.3997,216.7334,0.0000,0.000,6.396,6.261,1.0000
239.9493,86.2305,221.3858,0.0000,0.000,6.420,6.286,1.0000
244.9490,88.0617,226.0381,0.0000,0.000,6.444,6.312,1.0000
